Movie Name,Mexico,Spain,France,United Kingdom,Germany,Italy,United Arab Emirates,Netherlands,Türkiye,Ukraine,Sweden,Greece,Poland,Romania,Hungary,Portugal,Belgium,South Africa,Switzerland,Bulgaria,Austria,Israel,Denmark,Norway,Czech Republic,Lebanon,Finland,Slovakia,Egypt,Estonia,Croatia,Lithuania,Latvia,Slovenia,Iceland,Cyprus,Brazil,Peru,Colombia,Argentina,Panama,Chile,Ecuador,Venezuela,Bolivia,Trinidad & Tobago,Uruguay,Paraguay,Russia/CIS,Australia,Taiwan,South Korea,Indonesia,Malaysia,Singapore,Philippines,Hong Kong,Thailand,Japan,Vietnam,New Zealand,India,Pakistan,China,Serbia and Montenegro,Domestic,Dominican Republic,Jamaica,Kuwait,Qatar,Bahrain,Oman,Jordan,Mongolia,Switzerland (French),Central America,Puerto Rico,Costa Rica
The Boss Baby (2017),"$23,219,287","$14,451,540","$25,422,469","$36,510,247","$15,663,715","$8,034,597","$4,128,144","$6,627,957","$1,954,732","$1,768,721","$4,068,277","$1,207,286","$4,303,577","$1,252,821","$990,085","$2,424,470","$4,290,409","$2,032,739","$3,775,129","$703,623","$2,383,840","$4,317,386","$3,194,235","$315,549","$1,621,785","$442,694","$1,710,430","$1,089,261","$332,947","$537,172","$509,426","$515,785","$414,341","$458,206","$243,731",,"$14,799,659","$3,698,488","$5,180,077","$8,706,320",,"$4,630,561","$1,899,494",,"$773,576","$619,895","$743,094","$334,421","$26,395,096","$16,387,650","$3,177,553","$16,702,990","$4,002,139","$2,490,871","$2,863,283","$1,680,753","$5,746,000","$1,195,567","$30,741,043","$4,000,590","$2,178,669","$2,852,879","$303,721",,"$598,094",,"$556,136","$153,294","$1,590,263","$945,216","$881,017","$315,549","$216,597","$195,900",,,,
Call Me by Your Name (2017),"$723,938","$1,228,974","$2,652,781","$2,372,382","$1,830,654","$4,157,606",,"$1,052,804","$63,228",,"$730,017","$166,076","$298,074","$53,244","$86,390","$166,831","$489,765","$43,073",,"$10,798","$208,318","$158,663","$593,543","$389,046","$10,709",,"$436,603","$22,334",,"$35,865","$30,355",,"$14,957","$35,794","$16,276",,"$944,306","$51,029","$102,833","$101,548",,"$68,088","$18,337","$156,614","$4,684",,"$16,981",,,"$2,626,551","$240,748","$1,588,779",,,"$85,777","$52,173","$310,165","$136,611",,,"$159,254",,,,,"$18,095,701","$3,699",,,,,,,,,,,
Resident Evil: The Final Chapter (2016),"$7,212,254","$2,000,363","$2,189,093","$1,204,047","$3,253,516","$1,208,646","$1,364,128","$296,651","$790,324","$534,344","$267,696","$196,004","$466,161","$403,094","$314,325","$502,620",,"$246,124",,"$124,787",,"$93,135","$26,707",,"$191,825","$96,042",,"$110,712","$122,315","$83,670","$73,701","$61,013","$51,707","$13,752","$23,508",,"$6,004,832","$2,039,054","$1,764,477","$1,960,850",,"$1,321,882","$1,238,536","$447,785","$669,123","$133,972","$127,453","$97,511","$6,257,242","$2,351,188","$7,905,687","$5,520,764","$6,090,864","$2,835,926","$1,528,987","$1,874,073","$4,839,957","$3,325,690","$36,482,592","$1,200,838","$314,581","$1,155,308","$99,821","$159,548,686",,,"$79,824",,,,,,,,,,,
Ghost in the Shell (2017),"$5,348,819","$3,163,275","$8,252,537","$7,188,028","$6,704,456","$2,375,364","$873,410","$1,425,766","$1,271,636","$955,522","$970,657","$335,432","$1,567,482","$652,355","$493,083","$670,483","$679,320","$606,106","$975,656","$307,828","$805,854","$501,982","$632,719","$449,322","$322,811","$64,852","$437,209","$164,732","$33,455","$108,780","$125,179","$87,391","$84,719","$43,194","$70,091",,"$3,899,587","$818,445","$1,345,354","$617,411","$806,689","$450,009",,"$237,469",,,"$38,376",,"$8,537,520","$4,452,557","$2,763,350","$5,601,099","$1,888,835","$1,712,827","$1,343,832","$1,384,607","$2,538,517","$1,077,417","$9,018,941",,"$721,586",,,"$29,327,947","$60,974","$40,563,557",,,,,,,,,,,,
Fifty Shades Darker (2017),"$6,354,100","$13,745,106","$24,886,557","$28,583,660","$32,709,880","$15,796,926","$50,973","$6,332,203","$1,788,842","$1,595,224","$5,379,401","$1,683,324","$7,392,748","$1,656,543","$1,222,196","$2,489,044","$4,628,670","$2,465,598","$4,230,354","$619,814","$4,475,654","$2,489,791","$4,415,577","$3,529,572","$2,145,782","$477,396","$1,610,887","$1,106,362","$63,322","$445,120","$520,005","$580,410","$393,344","$538,974","$143,594","$222,750","$21,207,467","$1,000,712","$1,935,725","$3,724,443","$2,561,890","$2,273,168","$984,351","$1,176,866","$339,876","$405,317","$310,280","$227,353","$13,377,712","$13,785,620","$2,798,012","$1,379,601",,,"$1,031,387","$3,399,902","$1,843,638","$768,446",,"$541,678","$1,317,786",,,,"$526,177",,,,,,,,,,,,,
Attraction (2017),"$433,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$87,226",,,,"$18,020,347",,,,,,,,,"$22,841",,,,,,"$369,879",,,,,,,,,,,,,,
Don't Knock Twice (2016),"$366,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$142,920","$407,169",,,,,"$108,345",,"$48,955","$23,061","$379,043",,,,,,,,,"$114,820",,,,,,,,,,,,,,,,,,,,
Ozzy (2016),"$1,160,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$692,842",,"$276,754","$209,502",,,,,"$70,468",,"$19,730","$8,535","$1,119,806",,,"$788,370",,,,,,,,,,,,"$1,663,369",,,,,,,,,,,,,,
Cigarettes et chocolat chaud (2016),"$41,748",,"$956,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everybody Loves Somebody (2017),"$4,481,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,051",,,,,,"$23,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898: Our Last Men in the Philippines (2016),,"$1,992,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancer (2016),,"$38,894",,"$337,758",,,,"$76,029",,,,"$70,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$88,614",,,"$301,001",,,,,,,,,"$146,755",,,,,,,,,,,,,,,,,
I Am Not Your Negro (2016),,"$23,899","$480,058","$107,519",,,,"$214,602",,,,,,,,"$27,086",,,,,,,,"$120,995",,,,,,,,,,"$1,966",,,,,"$10,383",,,,,,,,,,,"$156,239",,,,,,,,,,,"$78,632",,,,,,,,,,,,,,,,,
Victoria (2016),,"$255,026","$4,646,299","$5,164",,,,,,"$15,258",,,,,,"$5,715",,,,,,,,,,,,,,,,"$6,893",,,,,,,,"$8,942",,,,,,,"$1,003",,"$27,128",,,,,,,,,,,,$146,,,,,,,,,,,,,,,,,
