Movie Name,Argentina,Uruguay,Australia,Russia/CIS,Türkiye,France,Spain,Germany,United Kingdom,United Arab Emirates,Romania,Belgium,Portugal,Ukraine,South Africa,Oman,Thailand,Singapore,Philippines,Domestic,New Zealand,South Korea,Austria,Lebanon,Peru,India,Malaysia,Nigeria,Kenya,Venezuela,Italy,Poland,Netherlands,Sweden,Czech Republic,Slovakia,Lithuania,Greece,Croatia,Latvia,Mexico,Ecuador,Bolivia,Vietnam,Bahrain,Brazil,Norway,Iceland,Chile,Colombia,Taiwan,Denmark,Slovenia,Hungary,Switzerland (French),Switzerland (German),China,Finland,Bulgaria,Serbia and Montenegro,Israel,Qatar,Hong Kong,Cambodia,Switzerland,Estonia,Japan,Ethiopia,Ghana,Egypt,Indonesia
God Willing (2015),,"$55,811","$621,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$71,631",,,,,,,,,,,,,,,,,,,,,
Dilwale (2015),,,"$665,017",,,,,"$217,520","$3,173,604","$4,977,859",,,,,,,,,,,"$403,976",,"$16,128","$4,635","$290,705","$13,840,242","$3,533,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guzaarish (2010),,,"$80,353",,,,,,"$557,298",,,,,,,,,,,,"$24,224","$269,099",,,"$61,560","$5,520,730","$33,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raavan (2010),,,"$194,823",,,,,,"$301,344",,,,,,"$38,851",,,,,,"$60,524",,,,,,"$52,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paa (2009),,,"$22,869",,,,,,,,,,,,,,,,,,"$8,325",,,,,"$9,466,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowdy Rathore (2012),,,"$88,664",,,,,,"$645,874",,,,,,,,,,,,"$65,062",,,,,"$27,283,662","$23,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wazir (2016),,,"$76,917",,,,,,"$119,178",,,,,,,"$8,845",,,,,"$35,514",,,,,"$4,269,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bang Bang (2014),,,"$361,645",,,,,,"$1,850,443","$3,331,833",,,,,,,,,,,"$137,063",,,,,,,,,,,,,,,,,,,,,,,,"$420,067",,,,,,,,,,,,,,,,,,,,,,,,,,
The Breakup Guru (2014),,,"$166,135",,,,,,,,,,,,,,,,,,"$15,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$106,590,000",,,,,,,,,,,,,,
Ride Along 2 (2016),,,"$2,218,932","$646,910",,"$181,537","$1,140,198","$3,772,997","$7,998,710","$2,871,372","$821,479","$267,395","$209,889","$132,475","$1,040,371","$173,402","$40,140","$81,110",,"$91,221,830","$217,146",,"$342,545","$423,232","$259,696",,"$440,034",,"$42,164",,"$139,576",,"$865,786","$483,063","$17,723","$36,197",,,"$57,905",,,"$183,787","$77,370","$246,096","$818,373",,"$393,816","$72,710","$14,799",,,,"$92,668","$208,156",,"$518,863",,,"$249,572","$37,230","$1,063,867",,,,,,,,,,
