Movie Name,Russia/CIS,Thailand,Germany,United Kingdom,France,Spain,Italy,Netherlands,Austria,Belgium,Poland,Portugal,Sweden,Norway,Hungary,Denmark,Israel,Ukraine,Greece,Türkiye,Czech Republic,Slovakia,Finland,South Africa,Croatia,Lebanon,Bulgaria,Slovenia,Serbia and Montenegro,Iceland,East Africa,Mexico,Venezuela,Brazil,Peru,Colombia,Argentina,Ecuador,Chile,Uruguay,Bolivia,Australia,Hong Kong,New Zealand,Philippines,Singapore,India,South Korea,United Arab Emirates,Egypt,Nigeria,Malaysia,Domestic,Qatar,Bahrain,Oman,China,Kenya,Ghana,Japan,Jordan,Romania,Taiwan,Estonia,Switzerland (French),Lithuania,Latvia,Vietnam,Paraguay,Switzerland (German),Indonesia,Switzerland,Central America
The Boxtrolls (2014),"$2,350,039",,"$1,101,520","$13,816,528","$2,860,200","$2,584,250","$1,451,006","$1,698,796","$340,298","$926,901","$810,341","$665,410","$682,136","$134,924","$193,476","$517,115","$729,153","$284,745","$232,372","$647,333","$236,081","$58,922","$285,538","$108,242",,"$60,973","$140,645","$34,067",,"$51,259",,"$5,073,059","$685,936","$1,586,578","$351,526","$364,096","$220,081","$540,885","$174,221","$13,393",,"$5,880,750","$306,797","$1,118,145","$72,081","$209,930",,"$628,751","$442,369","$34,679",,"$339,269",,,,,,,,,"$14,807","$190,915",,"$151,612",,"$194,889","$193,372",,,,,,
American Sniper (2014),"$759,730","$1,013,743","$11,437,055","$20,735,943","$21,273,403","$10,316,322","$21,390,500","$2,668,469","$1,613,686","$1,866,858","$2,304,309","$1,244,695","$1,886,983","$596,652","$315,890","$1,893,244","$11,882",,"$1,044,887","$415,908","$353,211","$241,611","$741,466","$757,734","$206,702","$407,452","$154,283","$37,292","$37,463","$138,426",,"$7,870,217","$1,854,691","$5,328,132","$689,010","$1,874,311",,"$421,272","$1,015,000","$213,866","$163,547","$15,072,802","$1,619,567","$1,593,405",,"$1,340,733","$602,924","$1,922,403","$1,894,585",,,,"$350,159,020",,,"$238,596",,,,"$18,144,178",,"$439,960","$4,199,701","$64,396","$1,065,833","$42,226","$50,734",,,"$1,681,443",,,
Fort Bliss (2014),"$50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000",,,,,"$8,769","$1,800",,,,"$3,000",,,,,,,,"$50,000",,,"$17,000",,,,,,,,"$5,000",,
Hector and the Search for Happiness (2014),"$171,667","$23,082","$2,191,267","$734,619",,"$18,654",,,"$304,351","$70,750","$23,164","$18,708",,,,,,,,,,,,,,,,,"$8,187",,,"$298,155",,,"$20,938",,,"$36,593",,"$36,352","$1,978","$57,671","$139,211","$99,922",,,,"$729,785",,,,,,,,,,,,,,,"$185,573","$37,814",,,"$4,842",,,,,,
Annabelle (2014),"$4,936,449","$838,370","$4,643,160","$12,034,061","$12,143,512","$5,115,832","$3,237,857","$816,372","$990,012","$1,877,971","$1,145,535","$506,676","$1,944,680","$1,892,205","$298,035","$984,999","$239,888","$222,086","$1,021,647","$356,144","$453,253","$244,008","$453,165","$167,101","$87,471","$269,141","$63,066","$17,246","$79,773","$113,471","$6,527","$19,189,547","$2,207,879","$16,312,322","$3,262,628","$5,542,298","$3,687,894","$1,875,953","$4,027,336","$219,809","$682,283","$5,166,996","$536,410","$1,164,899","$3,266,026","$2,260,212","$2,812,032","$6,341,652","$1,263,339","$672,544","$7,275","$5,267,774","$84,284,252",,,,,,,,,"$330,032",,,,,,,,,,,
Dracula Untold (2014),"$20,667,445","$2,215,260","$6,469,298","$7,840,174","$4,944,344","$6,793,444","$6,441,061","$1,094,076","$1,343,998","$1,041,139","$1,020,046","$1,013,182","$1,317,924","$605,043","$429,251","$574,431","$520,420","$1,844,788","$1,002,478","$1,538,918","$584,258","$221,934","$469,798","$590,150","$267,438","$295,851","$782,066","$150,606","$92,546","$77,261","$72,992","$13,555,794","$1,305,804","$12,823,832","$2,664,242","$3,601,129","$1,679,644","$814,879","$977,196","$69,319","$394,289","$4,963,946","$1,421,620","$775,215","$1,979,816","$2,464,202","$996,143","$9,816,039","$1,788,547","$223,955","$105,314","$4,145,526",,,,,,,,"$3,108,816",,"$1,051,006","$4,139,012",,,"$133,142","$170,755",,,,,,
Automata (2014),"$1,125,435","$480,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$71,793",,,"$29,050","$45,005",,"$13,888",,,,,,,,,,,,,,,,,,,"$3,320,000",,,,,,,,,,,,,,,,
Predestination (2014),"$429,630","$140,190",,,,,"$742,050",,,,,"$26,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$538,169","$150,001","$57,764",,"$132,201",,"$595,207",,,,,"$68,372",,,,"$1,830,000",,,,,,"$224,831","$7,715",,,,,,,,,
Jack and the Cuckoo-Clock Heart (2013),"$5,532",,"$12,887",,"$3,123,966","$28,616",,,"$5,738","$302,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,018",,,,,,,,,,"$2,939",,,,,$180,,,,,,,,,,,,
Justin and the Knights of Valour (2013),"$3,270,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$235,843",,"$265,200","$218,039","$253,973",,"$123,269",,,,,"$130,600",,,"$189,337",,"$1,306,717",,,,,,,,,"$1,380,000",,,,,,,,,,,,,,,,
