Movie Name,China,South Korea,Domestic,Portugal,Italy,Australia,Russia/CIS,New Zealand,Finland,United Kingdom,Norway,Sweden,Japan,Bulgaria,Argentina,Taiwan,Hong Kong,Hungary,Czech Republic,Mexico,Thailand,France,Germany,Spain,Austria,Belgium,Greece,Poland,Netherlands,Denmark,Serbia and Montenegro,Chile,Venezuela,Peru,Türkiye,Colombia,Brazil,Egypt,Central America+,Middle East Other,South Africa,Iceland,Lebanon,Singapore,Malaysia,Philippines,India,United Arab Emirates,Romania,Slovakia,Uruguay,Bolivia,Russia,Switzerland,Middle East/UAE,Ukraine,Czech Republic/Slovakia,Slovenia,Cyprus,Croatia,Latvia,Estonia,Lithuania,Kenya,Ecuador,Indonesia,Puerto Rico,Kuwait,Bahrain,Oman,Central America,Russia/CIS/Ukraine,Israel,Lesser Antilles,Jamaica,Dominican Republic,Nigeria,Qatar,East Africa,Jordan,Curaçao,Aruba,Baltic States,West Indies
Hotel Rwanda (2004),,"$70,154",,"$39,589","$352,711","$847,811",,"$179,935","$81,250","$3,065,914","$229,845",,,"$5,354",,"$37,478",,,"$29,955","$413,566",,"$687,396","$1,273,310","$1,441,247","$83,365","$559,485","$36,050",,"$368,305","$165,958","$2,246",,,,"$25,435",,,"$3,488",,,"$77,125","$25,456",,"$179,575",,,,"$48,595","$10,567","$10,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born to Dance (1936),,"$102,423",,,,"$35,451",,"$751,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie and the Chocolate Factory (2005),,"$8,720,322",,"$888,168","$12,487,531","$18,812,394","$997,219","$3,336,105","$944,405","$46,312,748","$7,459,128","$4,021,089","$44,451,327","$34,365","$1,504,237","$1,705,000","$1,909,649",,"$360,266","$6,448,073","$552,100","$28,722,737","$6,914,961","$10,294,853","$1,550,537","$2,926,691","$2,593,450","$365,942","$5,123,055","$1,895,670","$76,215","$1,009,782",,,"$833,455",,"$7,505,831","$46,424",,,"$1,241,842","$296,478","$77,866","$1,200,000","$132,881","$516,231",,"$256,240","$37,813","$51,683",,,"$371,100","$2,313,861",,,,,,,,,,,,,,,,,,,"$217,500",,,,,,,,,,,
The Aviator (2004),,"$4,390,755",,"$1,043,752","$7,157,934","$6,793,652","$2,025,478","$1,070,554","$837,899","$15,928,212","$1,122,276","$761,470","$7,762,147","$95,625","$765,461","$1,039,014","$929,838","$149,394","$444,855","$4,449,617","$274,100","$11,767,192","$10,160,589","$8,318,270","$1,392,669","$2,218,426","$1,052,100","$985,654","$1,699,564","$1,152,679","$26,486","$369,426","$85,076","$214,081","$1,100,000",,"$2,500,000","$23,400","$21,903",,"$700,000","$145,129","$119,035","$414,770",,,,"$324,293","$74,990","$62,871","$90,521","$34,497",,"$2,216,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Phantom of the Opera (2004),,"$8,322,052","$51,293,931","$733,428","$1,400,000","$5,374,773","$2,519,138","$934,026","$447,675","$17,527,353","$886,703","$961,964","$35,829,743","$31,304","$114,928","$1,462,619","$933,100","$275,089","$46,068","$1,406,243","$306,032","$797,866","$4,670,505","$3,456,898","$696,948","$64,591","$1,339,200","$455,342","$102,659","$1,902,954",$831,"$23,110","$38,739","$35,130","$176,734","$31,166","$470,330","$4,909","$87,238",,"$600,000","$15,731",,,"$256,826","$103,237",,,"$18,750","$10,428","$17,440",,,"$1,017,921",,,,,,"$25,936","$152,332",,"$101,243",,,,,,,,,,,,,,,,,,,,,
Beyond the Sea (2004),,"$13,795",,"$38,791",,"$803,853","$48,873","$124,037",,"$898,527",,,,"$2,399",,,,,,,,,"$89,291","$101,775",,,,,,,,,,,,,,,,,,"$2,437",,,,,,,"$5,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Good Company (2004),,"$1,345,417",,"$270,952","$811,897","$2,943,694","$667,613","$181,361","$103,134","$2,387,804","$47,070","$195,227",,"$12,518","$114,176","$256,186","$60,259",,"$36,932","$691,726","$20,900","$812,604","$1,366,228","$1,403,447","$318,721","$217,144","$92,150","$156,881","$85,377","$78,815",,"$55,525",,,"$115,192",,,"$5,718",,,"$144,009","$39,306",,,,,,"$23,758","$22,839","$16,506",,,,"$407,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meet the Fockers (2004),,"$1,606,325",,"$1,859,694","$19,050,339","$27,625,667","$5,561,512","$2,434,726","$889,675","$54,428,276","$1,430,518","$2,023,701","$96,612","$128,781","$3,308,922","$2,626,425","$1,357,866","$1,556,464","$261,306","$9,132,555","$459,423","$12,619,021","$24,856,417","$17,744,751","$4,654,432","$4,043,641","$2,963,743","$1,778,316","$3,690,754","$1,648,981","$73,692","$677,781","$937,235","$638,680","$1,277,556","$936,371","$4,422,075","$175,527","$1,170,070",,"$2,103,568","$342,246","$267,636","$1,293,801","$352,684","$1,002,084","$593,548","$601,714","$305,339","$110,542",,,"$5,844,195","$4,904,314","$1,151,495","$621,834","$366,647","$404,252","$276,941","$276,975","$100,697","$104,102","$92,885","$40,670","$302,689","$398,709",,,,,,,"$1,389,379",,,,,,,,,,,
The Assassination of Richard Nixon (2004),,"$4,214",,"$42,966","$636,957","$402,637",,,,"$1,059,488","$11,979","$25,620",,,"$72,316","$2,443",,,,,,"$292,819",,"$810,056",,"$74,637","$45,700","$13,892","$116,993","$36,028","$2,489","$20,303",,,,,,,,,,,,,,,,"$35,511","$10,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Merchant of Venice (2004),,"$805,331","$3,765,585","$19,890","$4,806,042","$33,065","$18,062","$109,392","$118,773","$2,167,984","$202,638","$242,387",,"$70,701","$542,112",,"$96,254",,"$166,043","$611,998",,,"$1,775,985","$3,264,107","$230,943","$48,833","$676,800",,"$281,183","$304,960","$24,071","$213,982",,,"$118,119",,,"$30,825",,,,,,,,,,"$116,895","$82,216","$31,318",,,,"$441,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
