Movie Name,Australia,New Zealand,Russia/CIS,Singapore,Taiwan,United Kingdom,South Africa,Domestic,Italy,Spain,United Arab Emirates,Mexico,Venezuela,Hong Kong,Thailand,Japan,France,Belgium,Netherlands,Norway,Germany,Poland,Denmark,Israel,Latvia,Switzerland (French),Switzerland (German),Sweden,Türkiye,Iceland,Romania,Portugal,Czech Republic,Slovakia,Egypt,South Korea,Malaysia,Philippines,India,Brazil,Uruguay,Colombia,Ecuador,Middle East Other,South Africa/Nigeria,Ukraine,Greece,Austria,Hungary,Czech Republic/Slovakia,Switzerland,Finland,Lithuania,Bulgaria,Croatia,Slovenia,Estonia,Serbia and Montenegro,Lebanon,East Africa,Nigeria,Central America+,Argentina,Chile,Peru,Bolivia,Indonesia,S/E/W Africa,Kuwait,Bahrain,Jordan,Qatar,Oman,Puerto Rico,Central America,Dominican Republic,Lesser Antilles,Jamaica,China,Cyprus,Vietnam,Pakistan,Switzerland (Italian),West Indies,Curaçao,Aruba,Ethiopia,Greece and Cyprus,Middle East,Middle East/UAE
Atonement (2007),"$9,795,638","$1,336,363","$1,058,478","$138,007","$400,359","$23,934,714","$387,738",,"$1,467,346","$6,137,012","$64,791","$755,671","$142,491","$317,816","$89,621","$1,421,723","$2,691,000","$1,160,245","$1,714,246","$2,479,242","$4,373,629","$1,053,008","$526,352","$698,938","$124,863",,,"$2,185,800","$635,424","$92,635","$62,904","$1,392,980","$441,792","$46,448","$33,818","$1,680,371","$42,061","$69,578",,"$1,529,811","$66,856","$116,017","$37,332","$44,263","$419,068","$241,320","$2,240,113","$514,955","$316,342","$374,763","$1,041,524","$478,535","$109,731","$49,256","$87,397","$61,504","$75,528","$38,939","$64,451","$19,614","$5,159","$90,809","$533,834","$271,072","$56,847",,"$30,300",,,,,,,,,,"$28,883",,"$2,136,083","$56,149",,,,,,,,,,
"4 Months, 3 Weeks and 2 Days (2007)","$61,184",,"$69,897",,"$46,665","$589,837","$301,260",,"$894,595","$1,063,172",,"$143,501","$26,896","$25,405",,,"$2,951,668","$290,747",,"$145,454","$279,604",,"$79,029",,,,,"$230,455","$85,524","$9,193","$274,611","$75,714","$12,099",,,"$51,173",,,,"$221,167","$19,778","$33,241",,,,,"$360,678","$48,845","$3,558",,"$80,604","$197,888","$9,819",,"$9,442","$21,887",,"$17,541",,,,,"$203,767","$17,330","$23,403",,,,,,,,,,,,,,,,,,,,,,,,,
The Brave One (2007),"$1,788,914","$220,052","$589,537","$274,997","$212,359","$2,408,065","$226,994",,"$2,113,606","$3,243,856","$249,776","$2,240,156",,"$291,708","$223,465","$3,334,778","$2,227,950","$914,274","$510,268","$180,675","$4,261,736","$208,680","$154,549","$392,041","$36,234",,,"$95,128","$769,716","$34,182","$88,038","$612,842","$57,570","$26,820","$47,097","$1,126,941","$235,500","$241,409","$40,633",,"$21,868",,,,,"$63,347","$380,919","$464,815","$188,611",,"$525,751","$46,889","$44,756","$59,398","$38,405","$30,293","$18,238","$16,736","$32,839","$25,321","$24,359",,,,,"$15,763","$308,246",,,,,,,,,,,,,,,,,,,,,,,
In the Valley of Elah (2007),"$572,768","$98,960","$134,839","$35,367","$73,909","$1,734,605","$126,845",,"$2,465,643","$3,046,512","$63,866","$560,344","$258,688",,"$51,098","$1,066,430","$3,014,308","$280,712","$114,202","$514,322","$384,478","$89,338","$212,554",,"$10,519",,,"$28,753","$317,633","$18,374",,"$261,798","$1,886",,"$14,179","$24,730",,,,"$236,837","$65,581",,,,,,"$601,756","$11,925","$7,805",,"$367,914","$48,409","$1,545","$7,761","$15,997","$52,535",,"$6,605","$15,817","$17,165","$4,155",,"$337,252","$179,931","$28,934",,,,,,,,,,,,,,,,,,,,,,,,,
December Boys (2007),"$560,172",,,,"$6,976","$92,117",,,,,,"$242,987",,,,,,,,,"$79,609",,,,,,,,,,,,,,,,,"$32,805","$9,611","$49,613","$4,468",,"$20,912",,,,,,,,,,,,,,,,,,,,,,"$19,861",,,,,,,,,,"$5,733",,,,,,,,,,,,,,,
Eastern Promises (2007),"$1,081,509","$157,782","$783,188","$94,020","$50,791","$4,399,217","$107,380","$17,266,000","$4,696,527","$4,821,414","$99,036","$717,303","$223,558","$71,052","$31,724","$743,947","$6,811,877","$803,895","$459,886","$264,977","$3,385,681",,"$2,228,604","$427,631","$34,680",,,"$528,575","$226,929","$95,302",,"$390,749","$144,248","$27,554","$17,206","$116,490","$33,427","$37,516","$38,198","$857,331","$37,132","$141,589",,,,"$83,766","$503,965","$601,772","$60,441",,"$977,777","$206,288","$44,816",,"$17,846","$46,840",,"$14,951","$25,286",,,,"$432,196","$273,739","$210,964",$705,,,"$60,813","$23,522",,"$15,467","$5,848",,"$45,148",,,,,,,,,,,,,,,
In the Shadow of the Moon (2007),"$376,147","$115,902",,,,"$220,411",,,,,,,,,,"$248,699",,,,,"$65,852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interview (2007),"$33,513",,"$75,918",,"$12,394","$65,785","$2,353","$416,951","$113,717","$184,476",,,,,,,"$192,859","$34,048","$55,709","$22,597","$17,053",,,,,,,"$3,474","$77,639",,"$14,186","$23,898","$15,526",,,"$14,956",,,,,$993,,,,,,"$29,893","$14,729",,,"$15,147",,,,,"$5,314",,,,,,,"$13,258",,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Fears in Public Places (2006),"$117,739",,,,,"$244,765",,,"$1,023,697","$288,742",,"$201,400",,,,,"$3,334,490","$81,693",,,"$301,062",,,,,,,,,,"$2,440","$113,587",,,,"$2,009",,,,"$512,675","$18,224",,,,,,,"$62,573",,,"$252,522",,,,,,,,,,,,"$121,320","$41,720",,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Evil: Extinction (2007),"$2,693,059","$680,820","$8,185,097","$1,241,850","$1,451,060","$5,370,978","$290,333",,"$2,852,694","$5,664,195","$590,103","$7,392,963","$518,245","$1,389,420","$2,862,253","$24,648,673","$4,961,313","$253,170","$207,034","$141,115","$3,525,144","$511,689","$287,879",,"$57,104",,,"$749,182","$682,875","$50,659","$62,422","$658,905","$178,685","$75,393","$51,399","$3,849,739","$1,194,547","$1,164,828","$978,940","$3,797,052","$31,204","$632,086","$309,794",,,"$1,076,761","$178,744","$756,108","$271,071",,"$184,494","$216,144","$181,381","$56,770","$72,879","$22,020","$54,531",,"$24,122",,,,"$550,303","$390,108","$385,421","$79,248",,,,,"$54,193",,,,"$421,419","$82,387","$89,826",,,,,,,,,,,,,
