Movie Name,United Kingdom,Spain,Italy,Germany,France,Poland,Sweden,Norway,Belgium,South Africa,Netherlands,Türkiye,Israel,Ukraine,Hungary,Denmark,Finland,Czech Republic,Switzerland,Slovakia,United Arab Emirates,Iceland,Bulgaria,Egypt,Romania,Greece,Croatia,Serbia and Montenegro,Lebanon,Mexico,Brazil,Venezuela,Argentina,Chile,Uruguay,Japan,Russia/CIS,Australia,Hong Kong,New Zealand,Malaysia,Singapore,Philippines,Taiwan,Thailand,Peru,Colombia,Central America+,Puerto Rico,Ecuador,Dominican Republic,Bolivia,Domestic,Austria,Portugal,Estonia,South Korea,Slovenia,Middle East Other,Lithuania,Pakistan,Czech Republic/Slovakia,Kenya,Latvia,Cyprus,Nigeria,North Macedonia,India,Indonesia,Vietnam,China,Kuwait,Bahrain,Qatar,Jordan,East Africa,Oman,Curaçao,Central America,Switzerland (German),Switzerland (French),Switzerland (Italian),Saudi Arabia,Jamaica,Lesser Antilles,Aruba,Middle East/UAE,Russia/CIS/Ukraine,Russia,Netherlands Antilles,Switzerland (French/Italian),West Indies,Bangladesh,South Africa/Nigeria,S/E/W Africa,Greece and Cyprus,Guatemala,Costa Rica,El Salvador,Panama,Honduras,Nicaragua,Sri Lanka,Paraguay
Perfume: The Story of a Murderer (2006),"$2,977,127","$9,906,765","$3,639,053","$53,125,663","$6,175,228","$2,475,809","$385,625","$360,082","$1,768,334","$28,199","$1,884,253","$940,993",,"$1,127,874",,"$393,644","$139,814","$240,961","$4,861,284","$194,156",,,"$43,014",,"$31,610","$1,423,900",,"$27,316","$63,050","$4,929,972",,"$393,168","$266,292","$500,631","$26,696","$5,485,849","$9,264,876","$534,443","$447,714","$233,001","$47,464",,,"$987,670","$56,408","$119,978",,,,,,"$24,069",,"$5,820,802","$661,376",,"$4,967,838",,,"$137,345",,,,,,,,,,,,,,,,,,,"$10,104",,,,,,,,,,,,,,,,,,,,,,,,,
The Santa Clause 3: The Escape Clause (2006),"$12,353,767","$1,239,447",,"$1,310,431",,,,,,,,,,,,,,,,,,"$67,288",,,,,,,,"$2,455,059",,,,,,,,"$4,666,253",,"$429,065",,,,,,,,,,,,,,"$649,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Good Year (2006),"$1,830,229","$4,307,577","$7,205,533","$3,837,906","$1,390,868","$708,940",,,,"$219,415",,"$434,402","$171,273","$68,478","$268,679","$1,154,935","$301,837","$156,679","$718,666","$30,010",,,"$99,741",,"$106,942","$281,181","$18,583","$43,112",,"$1,034,183","$688,053","$86,848","$140,341","$57,430","$27,201","$1,055,827","$1,057,158","$2,573,187",,"$462,728",,"$152,286","$105,298","$539,834",,"$81,629","$83,235",,"$36,502","$41,015","$21,660","$10,176",,"$575,271","$281,900","$102,176","$1,507,270","$62,728",,"$65,845",,"$219,406",,"$56,558",,,,"$73,909","$72,671","$18,503",,,,,,,,,"$134,414",,,,,"$11,228","$19,167",,,,,,,,,,,,,,,,,,,
The Return (2005),"$1,134,154","$532,090","$232,036","$80,785","$163,363",,,,"$120,576","$41,232","$41,427","$149,379",,,,,,,,,"$93,140",,,"$36,825",,"$165,582",,,"$17,259","$409,177",,,,"$72,798",,,"$269,500",,"$58,497",,"$90,518",,"$154,101","$42,650","$13,559","$67,396",,,,,,"$2,181","$7,749,851",,"$100,244",,,,,,,,,,,,,,,,,"$79,580","$52,554",,"$4,762",,"$4,929",,,,,,,,,,,,,,,,,,,,,,,,,,,
For Your Consideration (2006),"$205,189",,,,"$3,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$157,103",,,"$2,615","$7,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuck (2005),"$2,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,359",,,,$618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shooting Dogs (2005),"$286,065","$101,895",,"$62,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$108,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casino Royale (2006),"$120,634,722","$12,149,464","$10,959,793","$50,435,057","$26,908,166","$2,902,845","$11,939,707","$8,111,223","$6,056,429","$3,198,272","$10,598,499","$1,564,482","$1,269,376","$1,201,323","$845,527","$12,571,582","$5,591,405","$1,225,334",,"$204,895","$1,712,641","$659,619","$228,535","$320,655","$303,418","$4,418,836","$425,306","$148,044","$362,928","$6,557,256","$6,655,927","$968,234","$1,385,218","$807,989","$106,363","$16,816,091","$8,919,873","$25,392,765","$2,956,570","$4,132,290","$2,329,467","$2,034,804","$1,830,398","$3,090,700","$2,650,860","$383,719","$1,162,038","$718,997",,"$248,268","$291,723","$79,240","$167,445,960","$5,942,688","$2,269,111","$406,159","$6,511,852","$491,657",,"$159,848","$241,592",,,"$392,755",,"$210,610",,"$9,000,930","$2,421,928","$180,000","$11,735,457","$337,690","$241,620","$173,302","$182,257","$256,056","$83,193","$54,179",,"$8,405,063","$2,026,855","$168,658",$1,"$175,708","$175,797","$39,778",,"$10,207,593",,,,,"$99,992",,,,,,,,,,,
Happy Feet (2006),"$37,779,303","$10,057,345","$6,500,000","$8,814,150","$10,900,000","$117,046","$1,953,556","$2,448,667","$4,672,743",,"$7,515,003","$2,694,073","$141,000","$279,826",,"$1,664,068","$394,848","$300,383","$2,432,680","$110,503","$605,597","$165,388","$62,755","$84,432","$152,089","$2,780,500",,"$60,133",,"$6,252,783","$4,000,000",,"$1,378,012","$843,659",,"$12,083,119","$3,139,674","$26,245,071","$1,308,219","$2,965,884","$263,000","$1,820,000",,"$517,041","$370,415",,"$185,000",,"$403,000",,,,"$198,000,317","$1,771,674","$1,307,794",,"$3,618,073",,,"$130,444",,,,,,,,,,,"$386,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deja Vu (2006),"$10,049,687","$11,083,441","$9,844,813","$11,162,340","$5,295,508","$1,408,201","$2,143,009","$1,220,920","$2,276,620","$953,649","$2,563,987","$2,152,719",,"$459,214",,"$929,069","$464,964","$374,166","$1,682,316","$170,077",,"$103,606","$277,012",,"$176,210","$793,400",,"$35,023",,"$4,168,156","$2,988,591",,"$1,840,967","$332,784",,"$7,321,149","$1,128,492","$7,033,302","$544,497","$801,154",,,,"$884,072","$561,985",,,,,,,,,"$1,336,234","$1,390,099",,"$5,194,723",,,"$96,353",,,,,,,,,,,"$3,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby (2006),"$1,582,346","$1,529,848","$2,190,025","$189,106","$1,004,003",,,"$24,637","$186,449",,"$134,474",,,,,"$155,716",,"$26,228","$275,391","$4,440",,,,,"$25,679","$88,532",,"$1,349",,"$346,974","$111,824",,,,,,"$244,400","$978,991",,"$195,112",,,,"$11,072",,,,,,,,,"$11,242,801","$63,084","$78,093",,"$14,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deck the Halls (2006),"$3,945,357","$1,165,746","$546,798",,"$91,580","$17,589","$12,463",,"$212,371","$98,339",,,,"$168,266","$187,064",,,,,,"$56,414","$64,874","$54,990",,"$133,403","$218,774",,,"$12,241","$1,169,660","$235,824","$705,380",,"$40,224",,,"$710,467","$621,877",,"$81,307",,"$140,604","$116,818",,,"$110,076","$76,803","$127,865","$445,556","$93,727","$31,421","$15,864",,,"$59,865","$7,794",,"$36,327",,"$55,189",,,,"$79,611",,,,,,"$64,645",,"$32,236","$26,140","$14,509","$7,729",,"$3,097",,,,,,,"$11,976","$30,347",,,,,,,,,,,,,,,,,,,
The Holiday (2006),"$23,945,757","$6,154,701","$6,079,376","$16,123,230","$8,365,534","$1,487,937","$2,531,551","$1,632,271","$2,838,482","$1,325,789","$4,782,861","$1,618,469","$1,016,813","$516,128","$1,037,899","$818,272","$992,825","$358,415","$3,281,063","$105,048","$329,000","$151,483","$78,883","$121,628","$203,275","$1,888,900","$161,804","$52,508","$238,112","$3,444,255","$4,141,612","$442,285","$688,224","$315,902",,"$11,147,769","$3,584,503","$10,184,652","$1,254,680","$976,983","$231,859","$535,286","$249,735","$1,363,549","$522,517","$173,046","$123,741",,,"$103,106",,"$3,888","$63,224,849","$2,923,478","$1,266,693","$123,517","$8,217,382","$227,382","$310,164","$140,776","$12,374","$435,347","$23,151","$196,668","$108,300",,,"$329,619","$224,379","$112,324",,,,,,,,,"$248,160",,,,,,,,,,,,,,,,,,,,,,,,,
Snow Cake (2006),"$180,224",,,"$442,088","$130,733",,,,,,"$37,563",,,,,,,,,,,,,,,,,,,,,,"$2,440",,,,"$85,918","$205,883",,"$245,765","$3,785",,,"$12,139",,,,,,,,,"$26,651",,"$8,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harsh Times (2005),"$1,425,718","$169,942","$49,118",,"$399,619",,,,,,,"$28,935",,,,,,,,,"$85,359","$24,651",,,"$14,113",,,"$3,029",,,,,,,,,,,,,,,,$306,"$6,915",,,,,,,,"$3,337,931",,"$47,373",,"$2,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London to Brighton (2006),"$348,245",,,,"$43,151",,"$1,821",,"$45,905",,"$2,088",,,,,,,,,,,,,,,"$1,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Food Nation (2006),"$123,276","$238,968","$146,152","$68,852","$257,315",,,,"$13,891",,,,,,,,,,,,"$6,462",$800,,,"$2,886","$22,300",,"$6,261","$5,554",,"$18,929",,"$41,608",,,,,"$156,928",,"$36,685",,,,,,,,,,,,,,"$24,344","$15,632",,"$14,754",,,,,,,,,,,,,,,,"$2,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenacious D in the Pick of Destiny (2006),"$3,957,990",,,"$216,566","$26,091",,"$139,626","$133,049",,,"$73,349",,,,,"$69,698","$103,900",,,,"$15,709","$103,067",,,,,,,,,,,"$72,086",,,,,"$240,903",,"$1,243",,"$120,265",,,"$59,335",,,,"$5,927","$41,139",,,"$8,334,575","$164,555","$17,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,587",,,,,,,,,,
"OSS 117: Cairo, Nest of Spies (2006)","$30,639","$33,962","$14,263",,"$21,389,256",,,,"$609,792",,,,,"$29,774",,,,,"$318,789",,"$3,501",,"$7,374",,"$5,622","$29,250",,,,,"$41,813",,,,,,"$213,003",,,,,,"$24,136",,,,,,,,,,,,,,,,,"$1,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reeker (2005),"$498,421","$170,732","$77,161",,"$419,531",,,,,,,"$219,408",,,,,,,,,"$65,898",,,,,,,,,,,,"$185,793","$65,083",,,"$416,304",,,,,,,,,"$87,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,519",,,,,,,,,,,,,,,,,,,,,,,,,
The Nativity Story (2006),"$672,040","$1,103,856","$1,929,603","$286,354","$550,684","$109,520","$78,476","$634,593","$27,158",,"$77,678","$105,222",,,,"$30,878",,,,"$20,924",,"$6,709","$2,544","$5,625","$16,732","$36,000",,,,"$332,714",,,"$251,946","$55,464",,"$688,242",,"$338,489","$139,989","$163,781",,,,,"$19,446",,,,,,,,,"$71,414","$141,877",,"$395,046",,,"$14,519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turistas (2006),"$2,290,406","$1,494,159","$816,335",,,"$83,501",,,"$137,615",,,,,"$17,723",,,,,,,,,,,,,,,"$35,615","$174,333",,"$440,605",,"$29,435",,,"$905,115",,,,"$182,035","$149,854","$198,521","$60,076","$140,967","$93,146","$29,336",,"$294,807",,,,"$7,027,762",,"$106,254","$13,879",,,,"$35,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Diamond (2006),"$15,038,181","$9,611,220","$5,701,333","$7,176,791","$9,179,563","$274,737","$1,194,275","$2,176,385","$2,310,554","$1,184,493","$3,165,003","$2,436,463",,"$180,357",,"$1,324,909","$100,308","$215,910","$2,516,709","$82,913","$733,643",,"$196,204","$218,911","$173,571","$1,982,100",,"$30,157","$142,802","$4,112,166","$2,900,000",,"$895,324","$468,278",,"$8,017,156","$1,249,157","$6,841,811","$1,119,267","$1,114,715","$119,500","$558,000",,"$2,400,000","$459,842",,"$588,077",,,,,,,"$1,329,895","$1,888,649",,"$2,943,556","$177,361",,"$120,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unaccompanied Minors (2006),"$2,102,515","$882,134","$47,882","$130,410",,,,,,,"$26,580",,,,,,,,,,,,,,,,,,,"$1,488,851",,,,,,,,"$521,017",,"$86,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte's Web (2006),"$21,770,487","$1,229,048","$86,446","$3,498,706","$6,402,366","$429,668","$279,506","$396,613","$1,170,513","$558,503","$1,680,259",,"$317,221","$291,762","$261,011","$321,557","$340,232","$81,737","$634,692","$12,777","$230,951","$142,579","$6,901","$7,236","$29,965","$289,733","$70,344",,"$40,119","$2,333,538","$759,273",,"$310,456","$209,762","$23,647","$5,413,000","$925,321","$6,883,845","$584,471","$678,879","$124,778","$522,171","$148,656","$900,876","$425,468","$373,865","$152,979","$274,390",,,,"$4,490","$82,985,708","$780,275","$824,130","$86,659","$1,911,023","$37,110","$270,682","$151,930",,"$108,071",,"$65,581","$25,177",,$548,,"$86,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragon (2006),"$11,027,251","$14,236,082","$14,213,223","$13,804,080","$22,395,476","$1,627,301","$3,791,869","$1,852,374","$2,905,663","$794,773","$2,133,168","$589,754","$360,058","$698,300","$607,181","$2,031,040","$809,193","$818,245","$2,094,655","$135,802","$289,435","$276,251","$212,388","$135,716","$210,994","$1,958,489","$141,785","$81,927","$44,506","$10,643,431","$3,981,167","$1,405,811","$1,097,072","$865,437","$68,371","$15,790,689","$4,559,836","$6,574,906","$917,571","$1,173,460","$1,391,301","$1,154,037","$1,102,747","$1,457,634","$1,883,934","$481,008","$1,130,423",,"$1,062,887","$253,181","$91,534","$103,447",,"$1,847,320","$1,286,205","$101,752","$5,758,445","$119,375",,"$104,031",,"$1,006,154",,"$104,188",,,,"$847,448","$963,483","$78,198","$4,376,272","$188,845","$72,083","$57,210","$25,443",,"$17,119",,"$793,480",,,,,"$62,716","$118,719",,,,,,,,,,,,,,,,,,,
Rocky Balboa (2006),"$17,311,121","$6,737,274","$8,928,978","$8,042,122","$9,623,591","$135,167","$520,237","$826,988","$983,643","$182,964","$525,969","$224,222",,"$132,615","$133,733","$638,988","$424,479","$128,133","$1,409,285","$32,939","$224,136","$58,580","$31,920","$25,955","$32,935","$1,042,815","$37,316","$37,592","$30,912","$4,885,033","$2,386,560","$545,171","$421,458","$274,102","$33,007","$6,587,284","$1,155,948","$3,910,862","$412,456","$254,498","$75,623","$163,107","$156,915","$338,516","$123,263","$231,937","$200,750","$292,495","$493,171","$83,557","$27,630","$54,969",,"$1,216,514","$605,102","$27,575","$1,388,868","$21,819",,"$36,072",,"$177,457",,"$20,950",,,,"$295,408","$49,274","$10,754",,"$97,630","$21,032","$43,329","$9,516",,"$6,893",,,,,,,"$22,959","$34,004",,,,,,,,,,,,,,,,,,,
Fur: An Imaginary Portrait of Diane Arbus (2006),"$11,853","$927,911","$516,277",,,,,,"$21,459",,"$1,391",,,,,,,,,,,,,,,"$63,450",,,,"$235,957",,"$40,008","$103,096","$29,175","$10,229",,,"$7,194",,,,,,"$7,768","$5,938","$27,828",,,,"$7,158",,,,,"$55,545",,"$17,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dam Busters (1955),"$67,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Painted Veil (2006),"$3,421,285","$4,250,587","$610,692",,"$983,328",,,"$78,438","$194,887",,,"$309,520",,"$136,879","$10,583","$237,653","$330,888","$104,660",,"$3,815","$23,450","$16,130","$12,300",,"$56,056","$452,272",,,"$39,652","$427,129","$450,654","$101,574","$364,235",,"$26,457",,"$521,400","$3,453,372","$166,434","$510,782",,,,,,"$74,970",,,,,,"$8,957",,,"$246,786",,"$806,896",,,,,,,"$33,383",,,,,,,"$384,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Good Shepherd (2006),"$3,760,420","$5,023,890","$4,105,822","$3,513,850","$3,780,623","$80,613","$240,426","$234,078","$1,092,693",,"$778,913","$796,012",,"$273,407","$15,905","$632,286","$29,429","$54,125","$688,254","$38,302","$165,024","$24,766","$72,912",,"$112,623","$1,215,350","$49,480","$7,858","$12,765","$1,211,803","$907,832","$208,565","$381,638","$119,694","$23,473","$3,277,000","$875,518","$2,746,919",,"$222,829",,,"$119,004","$249,336","$61,655","$110,824","$130,158",,,"$54,452",,"$9,067",,"$537,125","$669,177",,"$633,949","$33,415",,"$18,674",,,,"$44,449",,,,,,"$10,832",,,,,,"$24,020",,,"$36,871",,,,,,,,,,,,,,,,,,,,,,,,,
Dreamgirls (2006),"$7,483,647","$1,703,358","$687,157","$3,255,101","$3,219,210","$180,745","$364,100","$342,793","$611,368","$483,565","$1,018,310","$241,035","$130,512",,"$158,335","$425,252","$276,896","$35,111","$795,675","$18,504","$120,968","$81,933","$13,137","$16,714","$50,707","$243,251","$73,361","$12,077","$44,836","$713,712","$635,680","$97,089","$47,969","$25,554",,"$16,199,342",,"$3,796,966","$223,165","$497,168","$86,373","$250,490","$151,560","$235,764","$197,631","$36,396","$29,503",,,"$14,886",,,"$103,365,956","$720,413","$443,768","$18,054","$4,816,397","$65,668","$108,930","$36,200",,"$61,645","$41,365","$32,283","$38,874",,,"$62,391","$72,889",,,,,,,,,,"$218,596",,,,,,,,,,,,,,,,,,,,,,,,,
The Page Turner (2006),"$654,239","$178,999","$497,134","$1,046,559","$5,031,894",,"$52,311",,"$469,576",,"$312,619",,,,,"$53,292",,,"$125,819",,,,,,,"$43,700",,,,"$186,710","$65,544",,,"$24,630",,,,"$191,476",,,"$3,725",,,"$15,615","$3,466",,,,,,,,"$209,659","$105,057",,,"$11,178",,,,,,,,,,,,,,,,,,,,,,$825,,,,,,,,,,,,,,,,,,,,,,,,,
Freedom Writers (2007),"$973,734","$74,775",,"$679,007","$1,738,705",,"$44,696","$26,605","$259,323","$88,578","$159,805",,,,,"$6,006",,,"$376,059",,"$58,906",,,,,,,,,"$420,441",,,,,,"$231,057",,"$1,059,796",,"$104,729",,"$104,842",,,,,,,,,,,,"$26,560",,,,,"$55,517",,,,,,,$432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inland Empire (2006),"$542,793","$141,970","$462,031","$421,068","$609,887","$90,186","$57,870","$18,454","$39,552",,"$56,348",,,"$8,405","$4,341","$48,882","$98,509","$17,297",,"$7,166",,"$13,094",,,"$6,834",,,,"$3,561","$50,335","$94,811","$7,204","$74,832","$15,059","$1,592",,"$139,512","$22,352",,$374,,,,,,,,,,,,,"$1,114,878","$50,832","$6,683",,"$36,754","$4,133",,"$16,784",,,,"$8,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The History Boys (2006),"$8,204,365","$70,608","$22,402","$64,710","$131,633","$9,922",,,,"$200,325",,"$12,734",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,147,946",,"$781,915",,"$44,405","$9,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes on a Scandal (2006),"$11,561,278","$3,120,079","$1,983,521","$1,691,836","$1,188,501","$190,546","$168,341","$438,070","$305,634","$198,156","$324,068","$186,307","$71,823",,"$54,872","$251,456","$85,821","$22,845","$530,330",,"$53,895","$30,262","$29,056","$13,075","$24,051","$388,217","$12,981","$17,722","$16,821","$1,013,500","$353,935","$60,974","$230,937","$106,392","$54,384","$577,376","$102,101","$4,930,803",,"$696,197",,"$79,104","$11,414","$75,777",,"$92,875","$76,591","$73,004","$45,034","$40,841","$12,793","$3,274",,"$243,181","$259,165","$17,920",,"$22,254",,"$20,069",,"$51,252",,"$41,674",,,,,,,,,"$9,079","$10,160",,,,,,,,,,"$13,197","$19,453",,,,,,,,,,,,,,,,,,,
DOA: Dead or Alive (2006),"$975,792","$492,579","$130,192","$508,715","$338,747",,,,,,,"$111,444",,"$90,041",,,,,"$20,900",,,"$25,494","$21,609",,,,,,,"$18,990",,"$27,650",,,,"$312,264","$479,467","$977,424","$268,454","$115,560",,,,"$123,249","$248,663",,,,,,,,"$480,813","$218,213","$143,851",,"$780,819",,,,,,,,,,,,,,"$516,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curse of the Golden Flower (2006),"$2,398,776","$2,033,892","$2,082,430","$471,464","$6,103,258","$242,789","$89,117","$122,442","$270,913","$58,931","$278,276","$217,789",,,,"$78,324","$50,620","$38,678","$141,446","$6,906",,,"$39,866",,,"$318,900",,,,"$519,092","$73,371","$119,677","$90,270","$117,232","$14,428","$2,631,287","$59,150","$874,176","$2,540,977","$83,977","$381,000","$960,600",,"$1,283,554","$885,039","$124,799","$98,607",,,"$34,573",,"$8,992",,"$77,591","$81,686",,"$5,897,561","$14,745",,"$25,707",,,,"$32,598",,,,"$76,023",,,"$37,471,028",,,,,,,,"$91,703",,,,,,,,,,,,,,,,,,,,,,,,,
The Good German (2006),"$633,799","$1,351,208","$820,492","$503,693","$492,112",,,"$17,294","$88,637",,"$14,468",,,,,,,,,,,"$6,647",,,,,,,,,,,,,,,,"$419,709",,"$59,928",,,,,,,,,,,,,,"$61,330","$109,462",,,,,,,,,,,,,"$27,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Land (2005),$841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,609",,,,,,,,,"$48,156",,,,,,,,,,,,,"$1,706,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letters from Iwo Jima (2006),"$563,546","$1,668,545","$987,775","$292,167","$1,791,628",,,"$125,305","$49,410",,"$22,590","$113,339",,,,"$24,106",,"$6,470","$61,676","$12,550",,,"$13,485",,"$26,246","$589,300",,"$22,882",,"$271,521","$796,000",,"$307,431","$147,616",,"$42,911,049","$43,771","$458,614","$153,385","$61,323",,"$208,000","$18,000","$300,921",,"$160,342",,,,,,,,"$54,227","$333,221",,,"$40,098",,"$19,354",,,,,,,,"$2,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Christmas (2006),"$2,117,433","$339,636","$36,281","$706,341",,"$162,398",,,,,,,,,,,,,,"$18,102",,,,,,,,,,"$487,263",,"$469,194","$95,544","$45,991",,,"$159,797",,,,,,,"$232,778","$23,734","$172,179","$23,222",,,,,"$52,318",,"$81,554","$13,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happily N'Ever After (2006),"$602,537","$2,714,627","$1,366,579","$225,487","$2,330,580","$754,856","$67,681","$78,451","$659,401","$296,136","$447,140",,,"$40,000","$173,639",,"$3,627",,,,"$135,443","$60,847",,,,,"$92,612",,"$4,868","$2,823,845","$1,753,010","$141,233","$284,226","$144,606","$5,519",,"$926,621","$1,870,698","$192,147",,,,"$37,225",,"$7,271","$141,334",,,,,,"$14,775",,"$15,806","$515,118",,"$1,869,780",,,,,,,,,"$6,733",,,,,,"$63,294",,,,,,,"$28,393",,,,,,,,,,,,,,,,,,,,,,,,,
Code Name: The Cleaner (2007),"$207,202",,,,,"$21,065",,,"$314,373","$133,113",,,,"$45,080",,,,,,,,"$19,441","$22,741",,"$96,114",,,,"$4,778","$432,169",,,,,,,"$705,000",,,,"$54,952",,,"$32,859",,,,,"$16,980",,,,,,"$41,191",,,,,,,,,,,,,,,,,,,,,"$24,179",,,"$31,216",,,,,,,,,,,,,,,,,,,,,,,,,
Stomp the Yard (2007),"$881,958","$56,395","$905,752","$2,067,918","$3,211,381",,"$84,770",,"$57,710","$449,476",,,,,,,,,,,"$175,808",,,,,,,,,"$292,398",,,,,,"$154,379",,"$3,263,915",,"$1,480,921","$246,633","$408,658","$46,895",,,,,,,,"$34,746",,,,,,,,,,,,,,,"$30,867",,"$19,078",,,,"$40,013","$26,539","$46,163",,"$12,336","$14,129","$10,726",,,,,,"$80,952","$35,909","$14,251",,,,,,,,,,,,,,,,,,
Miss Potter (2006),"$13,191,940","$996,488","$603,999",,"$364,096",,"$1,650","$4,287","$111,225","$71,602","$147,130",,,"$3,472","$50,420","$25,027","$48,161","$38,829","$369,855","$6,895","$46,666","$16,764",,,,"$83,484","$18,634",,"$12,607","$268,933","$253,980",,"$15,047",,,"$4,431,487","$35,483","$6,163,834","$115,738","$1,391,383",,,"$69,646","$194,596","$47,097",,,,,,,,,,"$23,740",,"$2,028,082",,,"$5,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur and the Invisibles (2006),"$10,690,475","$4,918,398","$2,656,590","$4,537,543","$46,143,962","$1,305,875","$552,230","$416,526","$2,627,361","$96,579","$754,493","$330,925",,"$119,234",,"$1,259,305","$251,409","$167,256","$702,188","$35,829",,"$34,100","$89,704","$2,980",,"$80,300",,"$135,331",,"$1,666,459","$568,716","$111,577","$121,283","$167,575","$27,251","$4,182,730","$1,688,607","$1,615,732","$123,859","$170,307",,,,"$488,284","$38,891","$140,107",,,,"$23,289",,"$6,102","$15,132,763","$610,396","$753,490",,"$638,084","$28,915",,"$130,719",,,,"$12,511",,,,,,,"$1,584,949",,,,,,,,"$26,336",,,,,,,,,,,,,,,,,,,,,,,,,
Alice in the Cities (1974),"$32,403",,,,,,,,,,,,,,,,,,,,,,,,,"$21,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Joy (2006),"$44,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$838,,,,,,,,,,,,,,,"$255,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venus (2006),"$2,273,148","$251,187",,,,,"$45,850","$99,723","$21,121","$43,748","$82,745",,,,"$40,546","$41,902",,"$4,080",,,,,,,"$15,217",,,,,"$162,076",,,"$222,371","$24,842","$20,423",,,"$371,387",,"$117,985",,,,"$15,909",,,"$59,819",,,,,,"$3,347,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
