Movie Name,Malaysia,France,Belgium,United Kingdom,Iceland,Spain,Mexico,Germany,Türkiye,Portugal,Austria,South Africa,Italy,Croatia,Slovenia,Russia/CIS,Thailand,Domestic,Brazil,Venezuela,Peru,Bolivia,Ukraine,Poland,United Arab Emirates,Sweden,Netherlands,Denmark,Norway,Hungary,Greece,Israel,Bulgaria,Czech Republic,Finland,Egypt,East Africa,Lebanon,Slovakia,Serbia and Montenegro,Colombia,Argentina,Ecuador,Uruguay,South Korea,Japan,Australia,Singapore,Philippines,Hong Kong,Indonesia,New Zealand,Taiwan,Nigeria,Ghana,Bahrain,Chile,India,Vietnam,China,Switzerland,Lithuania,Latvia,Trinidad & Tobago,Jamaica,Romania,Canada
The Mill and the Cross (2011),,,,,,"$69,130",,"$85,432",,"$9,126","$33,326",,"$206,470",,,"$4,088",,,"$10,821",,,,,"$226,766",,,,,,,,,,,,,,,,,,"$134,192",,"$24,642",,,,,,,,,,,,,,,,,,,,,,,
Chill Out! (2003),,,,,,"$1,147,788",,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Loneliest Planet (2011),,,,,,"$3,407",,,"$9,384","$2,800",,,,,,"$17,239",,,"$3,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,477",,,,,,,,,,,,,,,,,,,,
The Innkeepers (2011),,,,,,$361,"$160,311",,"$50,855","$15,924",,,,,,,,"$78,396",,"$193,931","$223,037","$9,081",,,,,,,,,,,,,,,,,,,"$252,311",,"$194,624",,,,,,,,,,,,,,,,,,,,,,,,
October Baby (2011),,,,,,"$39,290",,,,,,,,,,,,"$5,357,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Art of Flight (2011),,,,,,"$21,824",,"$94,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,398",,,,,,,,,,,,,,,,,,,,
The Big Bang (2010),,,,,,"$8,393",,,,"$7,300",,,,,,,,,,,,,,,"$139,035",,,,,,,,,,,,,"$5,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Gonna Explode (2008),,,,,,,"$66,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful Boy (2010),,,,,,,"$53,976",,,,,,,,,"$8,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Son of No One (2011),,,,,,,"$141,270",,,"$30,659",,,,,,"$536,349","$10,997",,,,,,"$18,127",,"$272,557",,,,,,,,"$50,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-11-11 (2011),,,,,,,"$213,936",,,,,,,,,"$1,564,373",,,"$3,182,369","$353,193","$368,254","$81,324","$18,854",,"$82,896",,,,,,,"$22,694",,,,,,"$18,089",,,"$120,136","$635,377",,"$26,051",,,,"$132,960","$26,362",,,,,,,,"$84,233",,,,,,,,,,
The Perfect Game (2009),,,,,,,"$2,841,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Americano (2011),,,,,,,"$74,559",,,,,,,,,,,,"$14,610",,"$3,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backstage (2005),,,,,,,"$25,787",,,,,,,,,,,"$12,663",,,,,,,,,,,,,,,,,,,,,,,,"$2,057",,,,,,,,,,,,,,,,,,,,,,,,,
Los ojos de Julia (2010),,,,,,,"$3,268,234",,,,,,,,,,,,,"$200,750","$126,771","$14,616",,,,,,,,,,,,,,,,,,,"$193,731","$283,021","$81,082","$21,021","$1,651,546",,"$16,973",,,,,"$7,851",,,,,,,,,,,,,,,
The Whistleblower (2010),,,,,,,"$196,314",,,,,,,,,,,,,,"$41,681","$2,735",,,"$12,673",,,,,,"$10,557",,,,,,,,,,"$91,995","$75,250",,"$13,373",,,"$254,039",,,"$40,595",,"$6,214",,,,,,,,,,,,,,,
Grave Encounters (2011),,,,,,,"$531,707",,,,,,"$2,408,334",,,,"$22,688",,,"$196,242","$583,485","$120,900",,,,,,,,,,,,,,,,,,,,,"$151,924",,,,,,"$40,639",,,,,,,,,,,,,,,,,,
As Luck Would Have It (2011),,,,,,,"$153,583",,,,,,,,,"$7,721",,,,,"$13,024",,,,,,,,,,,,,,,,,,,,"$48,332","$20,476",,"$3,646",,,,,,,,,,,,,,,,,,,,,,,
A Monster in Paris (2011),,,,,,,"$243,747",,,,,,,,,"$1,554,717",,,,,"$71,113","$29,432",,,,,,,,,,,,,,,,,,,"$123,888",,"$146,284",,"$98,742",,,,,,,,,,,,,,,,,,,,,,
Lovewrecked (2005),,,,,,,"$1,322,470",,,,,,,,,"$258,125","$127,524",,,"$292,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Tight (2011),,,,,,,"$1,107,633",,,,,,,,,,,,,"$359,822","$172,221",,,,,,,,,,,,,,,,,,,,,"$52,870","$116,959","$12,918",,,,,,,,,,,,,,,,,,,,,,,
Courageous (2011),,,,,,,"$19,047",,,,,"$176,398",,,,,,"$35,027,076",,,"$24,686","$11,606",,,,,,,,,,,,,,,"$10,958",,,,,"$48,157",,,,,"$107,781","$177,584",,,,"$63,362",,"$24,084",,,,,,,,,,,,,
The Round Up (2010),,,,,,,"$98,410",,,,,,,,,"$12,911",,,,"$36,876",,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,480",,,"$13,431",,"$38,030",,,,,,,,,,,,,,,
The Silent House (2010),,,,,,,"$305,829",,,,,,,,,,,,,,"$256,006","$27,059",,,,,,,,,,,,,,,,,,,,"$252,927",,"$112,616",,,,,,,,,,,,,,,,,,,,,,,
The Music Never Stopped (2011),,,,,,,,"$39,873",,$618,,,,,,,,"$258,223","$43,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy Horse (2011),,,,,,,,"$20,471",,,,,,,,,,"$157,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$74,641",,,,,,,,,,,,,,,,,
Cherry (2010),,,,,,,,,"$26,650",,,,,,,,,"$11,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faces in the Crowd (2011),,,,,,,,,"$45,249",,,,,,,,,,,,,,,,"$48,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ledge (2011),,,,,,,,,"$58,619","$13,246",,,"$177,963",,,"$739,387",,,"$262,003",,,,,,"$13,147",,"$22,010",,,,,,,,,,,,,,,,,,"$11,040",,,,,,,,,,,,,,"$39,240",,,,,,,,
Blind (2011),,,,,,,,,"$10,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,713,724",,,,,,,,,,,,,,,,,,,,,,
Puncture (2011),,,,,,,,,,"$18,883",,"$21,541",,,,,"$14,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daddy Longlegs (2009),,,,,,,,,,"$3,062","$8,389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:44 Last Day on Earth (2011),,,,,,,,,,"$19,105",,,,,,"$33,945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slumming (2006),,,,,,,,,,,,,,,,"$9,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hell (2011),,,,,,,,,,,,,,,,"$127,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Joy (2010),,,,,,,,,,,,,,,,"$11,284",,,"$39,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men in the City 2 (2011),,,,,,,,,,,,,,,,"$949,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Nice (2010),,,,,,,,,,,,,,,,"$45,849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Harrison: Living in the Material World (2011),,,,,,,,,,,,,,,,"$23,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,548",,,,,,,,,,,,,,,,,,,,
Making Plans for Lena (2009),,,,,,,,,,,,,,,,"$21,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hipsters (2008),,,,,,,,,,,,,,,,"$16,767,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigga Than Ben (2008),,,,,,,,,,,,,,,,"$500,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterix and the Vikings (2006),,,,,,,,,,,,,,,,"$427,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violet & Daisy (2011),,,,,,,,,,,,,,,,"$81,260",,,,,,,,,,,,,,,,,"$1,421",,,,,,,,,,,,,,,"$8,272",,,,,,,,,,,,,,,,,,,
I Melt with You (2011),,,,,,,,,,,,,,,,"$9,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turn Me On, Dammit! (2011)",,,,,,,,,,,,,,,,"$20,841",,,,,,,,,,,,,"$1,596,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faust (2011),,,,,,,,,,,,,,,,"$6,424",,"$58,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Six Degrees of Celebration (2010),,,,,,,,,,,,,,,,"$22,794,861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolki 2 (2011),,,,,,,,,,,,,,,,"$26,350,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café de Flore (2011),,,,,,,,,,,,,,,,"$56,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$179,067",,,,,"$73,560",,,,,,,,,,,,,,,
Beginning of the Great Revival (2011),,,,,,,,,,,,,,,,,,"$151,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$595,160",,"$27,835",,,,,,,,"$57,540,356",,,,,,,
Higher Ground (2011),,,,,,,,,,,,,,,,,,"$841,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$199,892",,,,,"$1,637",,,,,,,,,,,,,,,
Cat Run (2011),,,,,,,,,,,,,,,,,,"$30,000",,,,,,,"$35,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Minister (2011),,,,,,,,,,,,,,,,,,,"$41,937",,,,,,,,,,,,,,,,,,,,,,,"$64,979",,,,,,,,,,,,,,,,,,,,,,,,,
Actresses (2007),,,,,,,,,,,,,,,,,,,"$14,284",,,"$11,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Another Woman's Life (2012),,,,,,,,,,,,,,,,,,,"$157,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Day I Was Not Born (2010),,,,,,,,,,,,,,,,,,,"$86,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Caller (2011),,,,,,,,,,,,,,,,,,,,,"$217,172","$12,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letters to Santa (2011),,,,,,,,,,,,,,,,,,,,,"$12,605,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvation Boulevard (2011),,,,,,,,,,,,,,,,,,,,,,,,,"$25,101",,,,,,"$35,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loosies (2011),,,,,,,,,,,,,,,,,,,,,,,,,"$32,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucky Larson: Born to Be a Star (2011),,,,,,,,,,,,,,,,,,,,,,,,,,$999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasses (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,448",,,,,,,,,,,,,,,,"$48,360","$4,028,005",,,,,,,,,,,,,,,,,,,,,
The Hidden Face (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,436,837",,,,,,,,,,,,,,,,,,,,,,,,,,
To Die Like a Man (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$926,,,,,,,,,,,,,,,,,,,,,,,,,
The Man Next Door (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$517,540",,"$30,098",,,,,,,,,,,,,,,,,,,,,,,
Policeman (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,788",,,,,,,,,,,,,,,,,,,,,,,,,
The Heirloom (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,494",,,,,"$108,114",,,"$252,966",,,,,,,,,,,,,,
Whatever Lola Wants (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,124",,,,,,,,"$39,428",,,,,,,,,,,,,,
The Terrorizers (1986),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,989",,,,,,,,,,,,,,,,,,,,,,
The Truth About Love (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,227,220",,,,,,,,,,,,,,,,,,,,,,
Bustin' Down the Door (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$69,837",,,,,"$8,563",,,,,,,,,,,,,,,
Life Happens (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,136",,,,,,,,,,,,,,,,,,,
Picture Me (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,361",,,,,,,,,,,,,,,
The Locals (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$86,541",,,,,,,,,,,,,,,
"Buona Sera, Mrs. Campbell (1968)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,901",,,,,,,,,,,,,,,
