Movie Name,Domestic,New Zealand,France,Portugal,Italy,Ukraine,Germany,Bulgaria,Croatia,Slovenia,Australia,Bolivia,United Kingdom,Hong Kong,Japan,South Korea,Taiwan,Singapore,Malaysia,Philippines,Thailand,India,Spain,Sweden,Netherlands,Belgium,Denmark,Finland,S/E/W Africa,Israel,Norway,Switzerland,Austria,Greece and Cyprus,Romania,Egypt,Brazil,Mexico,Puerto Rico,Central America,Colombia,Venezuela,Argentina,Peru,Chile,Uruguay,Poland,South Africa/Nigeria,Türkiye,Hungary,Czech Republic/Slovakia,Latvia,Lebanon,Estonia,Serbia and Montenegro,Lithuania,East Africa,Iceland,Indonesia,Russia/CIS/Ukraine,Paraguay,Jamaica,Greece,Russia/CIS,Czech Republic,South Africa,Kenya,Cyprus,Ecuador,Dominican Republic,Lesser Antilles,China,Central America+,Yugoslavia,Slovakia,Middle East/UAE,Ireland,Lebanon/United Arab Emirates,Jordan,Vietnam,United Arab Emirates,Syria,Bahrain,Middle East Other,Morocco,Panama
Star Wars: Episode VI - Return of the Jedi (1983),"$316,566,101","$429,095","$5,944,209","$98,448","$1,219,593",,"$6,015,724","$31,845","$31,969","$13,483","$2,504,516","$41,406","$8,743,239","$237,414","$6,361,540","$524,901","$422,459","$161,563","$144,591","$348,893","$418,378","$93,594","$1,255,965","$701,651","$463,014","$571,856","$382,054","$251,708",,"$123,761","$446,866","$753,576","$402,341",,"$73,414","$15,888","$896,445","$793,679","$200,907",,"$212,213","$77,352","$333,640","$174,083","$332,782","$17,712","$424,193",,"$106,922","$240,249",,"$11,739","$11,443","$11,548","$28,316","$10,691",,"$54,618","$96,360",,"$6,398","$7,090","$146,149",,"$47,354","$161,861",,,,"$55,000","$37,538",,"$192,684",,,,,,,,,,,,,
Wings of Desire (1987),"$3,333,969",,,"$14,905",,,"$49,840",,,,,,"$24,501",,,"$5,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,004",,,,,,,,,,,,,,,,,,,,,,
The Third Man (1949),"$1,067,364",$384,,,"$29,754",,,,,,$699,,"$128,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodfellas (1990),"$46,909,721","$1,325","$9,736",,,,,,,,"$6,563",,"$33,683",,,,,,,,,,,,"$75,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alien (1979),"$81,900,459","$181,795","$4,727,920","$18,942","$661,770",,"$1,015,230",,,,"$3,494,292","$24,727","$1,495,028","$594,950","$4,462,984",,"$200,326","$198,530","$137,387","$216,205","$40,478","$44,359","$842,260","$1,652,056","$314,699","$228,889","$117,157","$88,148","$291,507","$47,703","$124,902",,"$246,219","$89,380",,"$24,000","$441,974","$829,842","$290,346","$90,722","$26,018","$181,685","$387,733","$99,209","$128,805","$64,239","$41,550",,,,,,,,,,,"$3,949",,,,"$45,000",,"$140,015","$32,133",,,,,,,,,,,,,,,,,,,,,
Army of Darkness (1992),"$11,502,976","$2,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Blue (1988),"$3,580,882",,,,"$394,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ran (1985),"$4,135,750",$906,"$6,482",,,,,,,,,,"$18,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psycho (1960),"$32,000,000","$1,689",,,,,,,,,,,"$10,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,242",,,,,,,,,,,,,,,,,,,,,,
The Blues Brothers (1980),"$57,229,890",,,,,,,,,,"$2,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Godfather Part II (1974),"$47,834,595","$3,827",,,,,,,,,"$22,903",,,,,"$100,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Metal Jacket (1987),"$46,357,676","$1,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadeus (1984),"$51,973,029",,"$46,894",,,,"$28,508",,,,,,,,,,,,,,,,,,,,,,,,"$18,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once Upon a Time in America (1984),"$5,321,508",$423,,$753,"$145,755",,,,,,,,,,,"$5,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raging Bull (1980),"$23,383,987","$1,795","$6,131",$915,,,,,,,,,"$11,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie Hall (1977),"$38,251,425",,,$850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,753",,,,,,,,,,,,,,,,,,,,,,,
The Right Stuff (1983),"$21,192,102",,,,,,,,,,$213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stalker (1979),"$292,049",,,"$1,981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,766",,,,,,,,,,,,,,,"$81,252",,,,,,,,,,,,,,,,,,,,,,
Das Boot (1981),"$11,487,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trust (1990),"$356,122",,,,,,,,,,,,,,,"$1,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Hero (1983),"$5,895,761",$457,,,,,,,,,,,"$78,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Terminator (1984),"$38,371,200",,,,,,,,,,,,"$410,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glory (1989),"$26,979,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan (1979),"$39,946,780",,"$9,858",,,,,,,,,,"$45,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,675","$90,966",,,,,,,,,,,,,,,,,,,,,,
Dead Poets Society (1989),"$95,860,116",,"$36,939,496",,"$17,788,175",,"$15,952,701",,,,,,,,,,,,,,,,"$8,457,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Graduate (1967),"$104,945,305",,,,,,,,,,,,"$36,813",,,"$32,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touch of Evil (1958),"$2,247,465","$1,884","$16,915",,,,,,,,,,,,,"$4,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bridge on the River Kwai (1957),"$27,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8½ (1963),"$98,760",$346,,"$14,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,200","$56,214",,,,,,,,,,,,,,,,,,,,,,
Chinatown (1974),"$29,200,000",$567,,,,,,,,,,,"$25,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Treasure of the Sierra Madre (1948),"$5,014,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Shining (1980),"$45,634,352","$9,632","$8,866","$1,908","$527,052",,,,,,"$81,333",,"$572,935",,,"$84,144",,,,,,,,,"$123,975",,,,,,,,,,,,,,,,"$30,960",,"$9,356",,,,,,,,,,,,,,,"$17,116",,,,,,"$143,178",,,,,,,,,,,,,,,,,,,,,,
Stand by Me (1986),"$52,287,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M (1931),"$35,566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evil Dead II (1987),"$5,923,044","$1,377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Deer Hunter (1978),"$48,979,328",$136,,,"$12,498",,,,,,,,"$9,271",,,,,,,,,,,,,,"$24,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,407",,,,,,,,,,,,,,,,,,,,,,
Diva (1981),"$183,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundhog Day (1993),"$71,107,962",,,,,,,,,,$629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unforgiven (1992),"$101,167,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Manchurian Candidate (1962),"$2,757,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
