Movie Name,Domestic,United Kingdom,Greece,Germany,France,Netherlands,Austria,Spain,South Africa,Italy,Czech Republic,Hungary,Mexico,Brazil,Argentina,Australia,New Zealand,Hong Kong,Türkiye,Egypt,Bulgaria,Japan,South Korea,Taiwan,Norway,Chile,Finland,Poland,Russia/CIS,Portugal,Switzerland,Czech Republic/Slovakia,Sweden,Denmark,Israel,Middle East Other,Slovenia,Cyprus,Lebanon,Romania,Croatia,East Africa,Iceland,Peru,Venezuela,Central America+,Colombia,Russia/CIS/Ukraine,Thailand,Philippines,India,Singapore,Belgium,Middle East/UAE,Estonia,Ukraine,Lithuania,Serbia and Montenegro,Latvia,Puerto Rico,Ecuador,Uruguay,Lesser Antilles,Dominican Republic,Bolivia,Jamaica,Paraguay,Malaysia,Indonesia,China,Russia,Baltic States,West Indies,Pakistan,Sri Lanka,New Caledonia,Vietnam,Bangladesh,United Arab Emirates,Kuwait,Bahrain,Slovakia,Qatar,Morocco,Mauritius,Reunion,Jordan,Oman,Tunisia,Djibouti,Aruba,Curaçao,Kenya,Lebanon/United Arab Emirates,Middle East,Palestine,Central America
Rabbit-Proof Fence (2002),"$6,199,600","$2,175,180",,"$881,965","$112,501","$328,500","$85,834","$327,217","$31,271","$55,023",,,"$67,861",,"$15,905","$3,756,418","$391,870",,"$36,157",,,,,,"$37,376","$5,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men in Black II (2002),"$193,735,288","$34,571,702","$955,260","$30,049,215","$24,062,423","$2,569,265","$3,513,782","$10,958,592","$857,326","$6,704,399",,"$779,375","$11,097,021","$6,333,586","$1,058,621","$9,698,146","$1,683,237","$2,646,470","$519,663","$127,040","$114,164","$28,136,247","$11,880,470","$2,537,583","$2,305,456","$916,849","$1,154,921","$1,145,239","$6,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Kiss (2001),"$1,048,950",,"$40,250",,"$968,952",,,"$570,561",,,,,"$58,152",,"$342,887","$247,202",,,"$39,477",,,,,,"$108,009","$256,789",,,,,,,,,,,,,,,,,"$5,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Good Girl (2002),"$14,018,296","$436,786",,,"$480,115",,,"$416,094","$35,026","$31,956",,,"$244,790","$41,273",,"$65,402","$87,561",,,,,"$51,147",,"$4,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Hour Party People (2002),"$1,184,096","$379,899",,,"$28,794",,,,,,,,,,"$20,186","$181,561",,,,,,,,,"$23,192",,"$30,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satin Rouge (2002),"$231,879",,,"$15,277","$2,898,309",,,"$118,389",,"$102,605",,,,,,"$5,360",,,,,,,,,,,"$3,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City by the Sea (2002),"$22,449,000","$125,339","$443,800",,"$262,616",,,"$1,843,288","$135,367","$1,078,672","$19,563","$81,119","$1,136,776",,"$431,988","$97,609",,,,"$19,793","$31,239","$230,995",,"$123,740",,"$105,386",,"$8,561","$370,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dogwalker (2002),"$12,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alias Betty (2001),"$208,400",,,,"$458,687",,,,,,,,,,,,,,,,,,,"$7,001",,"$2,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wanderers (1979),"$14,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ladykillers (1955),"$23,213","$19,449",,,,,,,,,,,,,,,"$3,120",,,,,,,,,,,,,$672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man in the White Suit (1951),"$8,718",,,,,,,,,,,,,,,,$215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Experiment (2001),"$144,634",,,"$6,391,356","$394,922","$32,511","$262,893",,,"$1,793,709",,"$14,418","$238,306",,,,,,,,,,"$87,130",,,"$5,119",,"$11,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballistic: Ecks vs. Sever (2002),"$14,307,963",,"$28,000",,"$159,677",,,"$1,445,038","$230,866","$518,715","$52,497","$36,725","$928,380",,,"$189,079",,"$5,514","$139,373",,"$36,112","$179,813","$376,014","$105,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invincible (2001),"$81,954",,,"$15,544","$15,158",,,"$37,487",,"$30,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirited Away (2001),"$15,205,725","$1,383,023","$307,200","$1,981,457","$6,326,294",,"$241,829","$822,940",,"$804,985","$3,552",,"$749,529",,"$215,307","$259,480","$59,358","$2,958,139","$36,860",,,"$238,220,330","$11,382,770","$1,044,866","$205,968",,"$292,529","$27,787","$190,873",$615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$69,010,962",,,,,,,,,,,,"$5,936",,,,,,,,,,,,,,,
Jonah: A VeggieTales Movie (2002),"$25,581,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,936",,,,,,,,,,,,,,"$6,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heaven (2002),"$784,399","$245,249","$248,200","$2,100,151","$48,651","$203,873",,,,"$26,757","$27,351",,"$78,400",,,"$295,481",,,,,"$3,322",,,"$7,253","$22,656","$7,883",,"$147,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powaqqatsi (1988),"$589,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rules of Attraction (2002),"$6,532,619","$1,312,596",,"$88,812","$988,182",,,"$337,085",,"$401,420","$38,961","$31,114","$51,925",,,"$264,833","$56,271","$11,841",,,,,"$13,327",$251,"$117,496",,"$11,074","$19,782","$436,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling for Columbine (2002),"$21,576,018","$1,954,067","$58,750","$6,412,679","$4,911,174","$703,425","$911,044","$2,326,163","$29,218","$439,096","$14,061","$30,822","$337,842",,"$264,825","$2,565,433","$341,349",,,,,,,,"$696,264","$134,865","$172,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punch-Drunk Love (2002),"$17,844,216","$521,261","$39,200","$458,033","$1,647,331","$138,980","$41,865",,,"$275,185","$20,760",,"$124,059",,"$84,182","$840,999",$460,,,,,,"$10,065",,,"$34,243","$23,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Ark (2002),"$3,048,997",,,"$66,116","$28,659","$185,139","$5,759","$23,989",,"$277,012",,,,,"$318,829","$1,171,556","$126,630",,,,,,,"$39,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take Care of My Cat (2001),"$9,866",,,,,,,,,,,,,,,,,,,,,,"$54,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday Night Fever (1977),"$94,213,184",,,,,,,,,,,,,,,$753,"$1,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xanadu (1980),"$22,762,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow Out (1981),"$12,000,000",,,,,,,,,,,,,,,,$754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallipoli (1981),"$5,732,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lola (1981),"$8,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Romance (1981),"$2,863,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paid in Full (2002),"$3,090,862",,,,,,,,"$25,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All or Nothing (2002),"$201,546","$938,394","$40,500","$30,179","$154,045","$58,602","$27,124","$346,027",,"$53,608",,,,,"$925,818","$33,399","$20,640",,,,"$10,030",,,,"$5,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Changer (2002),"$1,305,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
