Movie Name,Domestic,United Kingdom,Spain,France,Italy,Germany,Netherlands,Poland,Belgium,Austria,Greece,Türkiye,Sweden,East Africa,Portugal,United Arab Emirates,South Africa,Estonia,Lithuania,Russia/CIS,Australia,Taiwan,Hong Kong,Malaysia,Singapore,Thailand,South Korea,Philippines,Mexico,Brazil,Argentina,Peru,Venezuela,Uruguay,Finland,Czech Republic,New Zealand,Lebanon,Iceland,Ukraine,Japan,Norway,Denmark,Israel,Slovenia,Hungary,Croatia,Romania,Slovakia,Egypt,Nigeria,Latvia,Serbia and Montenegro,Ghana,Colombia,Ecuador,Bolivia,China,Ethiopia,Dominican Republic,Curaçao,Aruba,Vietnam,India,Bulgaria,Chile,Central America,Russia,Kuwait,Switzerland,Qatar,Oman,Bahrain,Jordan,Indonesia,Trinidad & Tobago,Jamaica,Switzerland (German),Switzerland (French),Switzerland (Italian),Iraq,Mongolia,Pakistan
Red Like the Sky (2006),,,,,"$194,758",,,,"$1,170",,,,,,,,,,,,,"$33,150",,,,,"$42,171",,"$117,098","$146,235","$24,514",,,"$2,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Idiot Brother (2011),,,,,"$338,255","$157,287","$94,589",,"$28,606","$25,009",,,,,"$77,891","$107,947","$36,476",,,,"$108,066",,,,,,,,,,,,,,,,,,"$14,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hesher (2010),,,,,"$66,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Swimsuit Issue (2008),,,,,,"$1,080,757",,,,"$27,859",,,"$1,342,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boy (2010),,,,,,"$11,745",,,,,,,,,,,,,,,"$1,602,517",,,,,,,,,,,,,,,,$739,,"$1,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabbit Without Ears 2 (2009),,,,,,"$40,954,864",,,,"$3,328,301",,,,,,,,,,"$1,496,737",,,,,,,,,,,,,,,,,,,,"$102,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Rabe (2009),,,,,,"$1,241,380","$22,339",,"$5,264","$19,025",,"$18,265",,,"$12,433",,,,,,,,,,,,,,"$98,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falling (2006),,,,,,"$24,975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trust (2010),,,,,,,"$144,051",,"$77,550",,"$20,075",,,,"$93,908","$76,572",,,,,,,,,,"$8,900",,,"$54,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Milky Way (2007),,,,,,,$128,,,,,,,,,,,,,,,,,,,,,,,"$49,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamar (2009),,,,,,,,,"$16,770","$15,535",,,,,,,,,,,,,,,,,"$4,392",,"$85,834",,"$32,204",,,,"$36,981",,,,,,,"$50,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henri-Georges Clouzot's Inferno (2009),,,,,,,,,$613,"$25,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Are What We Are (2010),,,,,,,,,,$625,,"$2,822",,,,,,,,,,,,,"$6,540",,,,"$77,767","$34,697","$161,735",,,"$5,741",,,,"$13,547",,,,,,,,,"$13,466",,,,,,,,,,"$21,226",,,,,,,,,,,,,,,,,,,,,,,,,,
The Robber (2010),,,,,,,,,,"$125,874",,,,,,,,,,,,,,,,,,,,,"$45,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Prey (2006),,,,,,,,,,,,"$165,858",,,,,,,,,,,,,,,,,"$321,340",,,"$161,194",,,,,,,,,,"$3,075,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrecked (2010),,,,,,,,,,,,"$221,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellflower (2011),,,,,,,,,,,,"$4,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oki's Movie (2010),,,,,,,,,,,,,,,$804,,,,,,,,,,,,"$245,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva (1962),,,,,,,,,,,,,,,"$3,020",,,,,,,,,,,,,,,,,,,,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tortured (2010),,,,,,,,,,,,,,,,"$56,337",,,,,,,,,,,,,,,,"$263,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messengers 2: The Scarecrow (2009),,,,,,,,,,,,,,,,"$118,618",,,,,,,,,,,,"$131,497","$1,128,303",,,"$91,881",,,,,,,,,,,,,,,,,,,,,,,,,"$51,501",,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Awake (2010),,,,,,,,,,,,,,,,"$26,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$221,035",,"$67,492",,,,,,,,"$3,484",,,,,,,,,,,,,,,,,,
Main Street (2010),,,,,,,,,,,,,,,,"$18,179",,,,,"$5,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why Did I Get Married Too? (2010),,,,,,,,,,,,,,,,,"$558,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceremony (2010),,,,,,,,,,,,,,,,,"$17,669",,,,,,,,,"$8,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exodus (2007),,,,,,,,,,,,,,,,,,,"$125,249","$14,822",,,"$419,926","$32,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Invisible Sign (2010),,,,,,,,,,,,,,,,,,,"$9,276","$35,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room in Rome (2010),,,,,,,,,,,,,,,,,,,,"$79,393",,"$17,725","$18,398",,,,,,"$29,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Tour (2010),,,,,,,,,,,,,,,,,,,,"$29,515",,,,,,,,,"$18,044",,,,,"$3,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women Without Men (2009),,,,,,,,,,,,,,,,,,,,"$7,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612: Khroniki smutnogo vremeni (2007),,,,,,,,,,,,,,,,,,,,"$5,784,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothing to Declare (2010),,,,,,,,,,,,,,,,,,,,"$77,469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Season 3 (2010),,,,,,,,,,,,,,,,,,,,"$5,260,011",,,,,,,,,"$1,160,078",,,,,,,,,,,,,,,,,,,,,,,,,,"$120,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ward (2010),,,,,,,,,,,,,,,,,,,,"$1,028,600",,,,"$68,567","$56,591","$37,524",,"$37,290","$1,837,748",,"$315,140","$371,053",,"$27,865",,,,,,,,,,,,,,,,,,,,,,"$44,368",,,,,,,,,,"$167,304",,,,,,,,,,,,,,,,,
Mammuth (2010),,,,,,,,,,,,,,,,,,,,"$28,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Missing Star (2006),,,,,,,,,,,,,,,,,,,,"$16,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontier of the Dawn (2008),,,,,,,,,,,,,,,,,,,,"$26,380",,,,,,,,,,"$34,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sleeping Beauty (2010),,,,,,,,,,,,,,,,,,,,"$123,984","$293,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dust of Time (2008),,,,,,,,,,,,,,,,,,,,"$2,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blitz (2011),,,,,,,,,,,,,,,,,,,,"$2,548,801",,"$515,913",,"$293,139","$24,894","$4,150","$420,250","$46,323","$191,266",,,"$150,194","$396,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Help Me, Eros (2007)",,,,,,,,,,,,,,,,,,,,"$11,699",,"$44,535","$1,536",,"$20,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear's Kiss (2002),,,,,,,,,,,,,,,,,,,,"$165,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Zimmer (2005),,,,,,,,,,,,,,,,,,,,"$235,164",,"$60,076",,,,,"$119,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loose Cannons (2010),,,,,,,,,,,,,,,,,,,,"$42,735",,"$26,127",,,,,,,"$48,451","$123,772","$87,500",,"$210,141","$26,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ironclad (2011),,,,,,,,,,,,,,,,,,,,"$794,809",,,,,,"$86,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Fischer Against the World (2011),,,,,,,,,,,,,,,,,,,,"$7,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation P (2011),,,,,,,,,,,,,,,,,,,,"$4,389,112",,,,,,,,,,,,,,,,,,,,"$275,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Play (2011),,,,,,,,,,,,,,,,,,,,"$6,732",,,,,,,,,"$13,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Ever Afters (2009),,,,,,,,,,,,,,,,,,,,,"$7,968",,"$137,712",,,,,,,,,,,,,,"$20,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griff the Invisible (2010),,,,,,,,,,,,,,,,,,,,,"$141,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change of Address (2006),,,,,,,,,,,,,,,,,,,,,"$103,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Take-Away (2011),,,,,,,,,,,,,,,,,,,,,"$81,835",,,,,,,,,"$1,671,635","$4,416,901","$63,964","$90,880","$349,420",,,"$64,525",,,,,,,,,,,,,,,,,,"$72,710",,"$5,827",,,,,,,,,"$177,471",,,,,,,,,,,,,,,,,
Beautiful Lies (2010),,,,,,,,,,,,,,,,,,,,,"$441,460","$214,550","$76,083",,"$23,383",,,,,,,,,,,,"$38,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badmaash Company (2010),,,,,,,,,,,,,,,,,,,,,"$38,132",,,,,,,,,,,,,,,,"$5,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Resident (2011),,,,,,,,,,,,,,,,,,,,,,$211,,"$59,663","$14,645","$77,115","$477,707",,"$644,036","$186,815","$189,896","$150,791","$273,336","$19,996",,,,,,,,,,,,,,,,,,,,,"$130,394",,"$3,375",,,,,,,,,"$64,340",,,,,,,,,,,,,,,,,
I Just Didn't Do It (2006),,,,,,,,,,,,,,,,,,,,,,"$6,525","$18,631",,,,"$7,965",,,,,,,,,,,,,,"$9,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son of Babylon (2009),,,,,,,,,,,,,,,,,,,,,,"$4,323",,,"$30,459",,"$12,656",,"$29,813",,,,,,,,,,,,,,,,,,,,,,,,,,"$36,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Life (2009),,,,,,,,,,,,,,,,,,,,,,"$237,157",,,"$21,238",,,,"$162,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Appeared (2007),,,,,,,,,,,,,,,,,,,,,,$569,,,,,,,,,"$52,046",,"$1,799",,,,,,,,,,,,,,,,,,,,,,,,"$26,029",,,,,,,,,,,,,,,,,,,,,,,,,,
Black Butterflies (2011),,,,,,,,,,,,,,,,,,,,,,"$32,522",,,,,,,,"$70,495",,,,,,,,,,,,,,,,,,,,,,,,,"$31,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothing But Ghosts (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night and Day (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brotherhood (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Impact Man: The Documentary (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Yellow Sea (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,760,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Little Girl Who Conquered Time (1983),,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Soul of a Man (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pool (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$210,360",,"$5,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,613",,,,,,,,,,,,,,,,,
Tiresia (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pecados de mi padre (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housewarming (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Stop 174 (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,632,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrong Rosary (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almanya: Welcome to Germany (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walled In (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$232,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Necessities of Life (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracker (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Autobiography of Nicolae Ceausescu (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Blind Sunflowers (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oh My God (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,548",,,,,,,,,,,,,,,,,,,
