Movie Name,Domestic,United Kingdom,Spain,France,Italy,Germany,Netherlands,Poland,Belgium,Austria,Greece,Türkiye,Sweden,East Africa,Portugal,United Arab Emirates,South Africa,Estonia,Lithuania,Russia/CIS,Australia,Taiwan,Hong Kong,Malaysia,Singapore,Thailand,South Korea,Philippines,Mexico,Brazil,Argentina,Peru,Venezuela,Uruguay,Finland,Czech Republic,New Zealand,Lebanon,Iceland,Ukraine,Japan,Norway,Denmark,Israel,Slovenia,Hungary,Croatia,Romania,Slovakia,Egypt,Nigeria,Latvia,Serbia and Montenegro,Ghana,Colombia,Ecuador,Bolivia,China,Ethiopia,Dominican Republic,Curaçao,Aruba,Vietnam,India,Bulgaria,Chile,Central America,Russia,Kuwait,Switzerland,Qatar,Oman,Bahrain,Jordan,Indonesia,Trinidad & Tobago,Jamaica,Switzerland (German),Switzerland (French),Switzerland (Italian),Iraq,Mongolia,Pakistan
"Lovely, Still (2008)","$127,564",,,,,,,,,,,,,,,,,,,,,,,,,,"$105,519",,,,,,,"$3,517",,,"$46,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Conspirator (2010),"$11,538,204","$204,693","$1,491,811",,"$574,917","$153,547",,,"$33,296","$49,402",,"$74,079",,,"$180,932","$62,061","$74,626",,,"$3,584","$152,393",,"$76,359",,"$14,139","$9,409","$241,264",,"$231,829","$62,343","$58,517","$33,805","$76,105","$7,641",,,"$144,088","$18,243",,,,,,,,,,,,,,,,,"$51,952","$3,944","$2,361",,,,,,,,,,,,,,,,,,,,,,,,,,
Queen to Play (2009),"$478,710",,,"$1,056,938",,"$725,610",,,"$28,962","$157,160",,,,,"$9,342",,,,,,,,,,,,,,,"$1,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombiana (2011),"$36,665,854","$1,630,292","$1,705,768","$5,445,710",,"$3,164,449","$815,478","$451,864","$957,504","$415,617","$317,521","$357,619","$293,995","$13,188","$567,268","$501,832","$317,382","$10,165",,"$2,856,954",,,"$273,330","$384,622","$61,764","$384,265","$3,853,653","$159,109",,,,,"$282,630","$13,461","$92,636","$25,375",,"$69,743","$38,764","$202,179",,"$225,879","$62,130",,,"$20,461","$51,754","$80,799","$5,783",,"$47,316","$6,918","$3,523","$9,011","$116,266","$59,685","$14,060","$8,050,000",,,"$50,092","$43,858",,,"$67,970","$56,946",,,,,,,,,,"$95,863","$110,135",,,,,,
Freakonomics (2010),"$101,270","$2,011",,,,,,,,,,,,,,,,,,,,,,"$4,538","$13,943",,,,,,,,,,,,,,$454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Skin I Live In (2011),"$3,185,812","$2,291,603","$6,181,986","$5,729,704","$2,436,148","$1,279,313","$272,735","$1,130,755","$655,569","$279,319","$632,520","$179,661","$222,235",,"$212,556",,"$10,096",,,"$1,960,741","$433,048",,"$433,374",,,"$11,250",,,"$1,116,612","$2,890,450","$785,823","$69,325","$262,220","$56,481","$347,930","$94,272","$21,654","$6,798","$7,150","$120,985",,"$97,691","$106,642",,"$25,864","$70,856","$29,353",,,,,,"$26,970",,,"$12,236",,,,,,,,,"$28,652",,,,,,,,,,,,,,,,,,
Project Nim (2011),"$411,184","$172,490","$2,959","$6,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Ranch (2010),"$137,885",,,,,,,,,,,,,,,"$8,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Avengers (2012),"$623,357,910","$80,563,081","$20,220,212","$37,765,919","$22,012,517","$30,828,359","$6,609,804","$3,165,105","$4,061,231","$3,175,739","$2,599,996","$4,257,979","$7,595,353","$323,763","$2,489,524","$6,689,950","$4,609,462",,,"$43,679,945","$54,385,465","$20,100,000","$12,468,825","$10,965,615","$11,172,253","$7,935,363","$48,651,463","$14,382,992","$61,748,523","$63,904,807","$17,331,732","$8,523,744","$13,216,039","$517,473","$1,476,038","$1,740,748","$7,140,832","$534,555","$502,028","$2,210,225","$33,019,883","$5,636,566","$5,081,339","$2,449,957","$163,737","$1,759,397","$387,357",,"$448,435","$913,497","$202,368",,"$167,189","$20,549","$7,140,604","$5,410,298","$1,885,220","$86,300,000",,,,,,"$12,616,061","$743,965","$9,247,146",,,,,,,,,"$11,949,911",,,,,,,,
Tinker Tailor Soldier Spy (2011),"$24,149,393","$22,550,697","$3,077,544","$5,006,445","$3,650,753","$2,940,785","$844,501","$1,425,267","$206,987","$315,668","$566,515","$177,253","$2,898,288",,"$183,472","$127,980","$102,850",,,"$1,068,141","$6,919,623",,"$143,036",,"$125,750","$31,794","$644,052",,"$250,788","$757,797","$329,866","$61,261","$18,892","$68,667","$288,281","$51,118","$1,225,535","$7,843","$28,628","$180,023",,"$418,214","$367,703",,"$15,487","$60,453","$72,818",,,,,,,,"$77,619",,"$5,053",,,,,,,,"$11,284","$61,245",,,,,,,,,,,,,,,,,
