Movie Name,France,Italy,Germany,Belgium,Spain,Netherlands,Greece,Austria,Portugal,Poland,Lebanon,Switzerland (German),Finland,Norway,Iceland,Croatia,Estonia,Australia,South Korea,New Zealand,Taiwan,Hong Kong,Thailand,Mexico,Peru,Uruguay,Chile,Ecuador,Bolivia,Russia,United Kingdom,United Arab Emirates,Türkiye,Israel,Ukraine,Sweden,Qatar,Denmark,Romania,Bahrain,South Africa,Oman,Switzerland (French),Hungary,Jordan,Bulgaria,Czech Republic,Kenya,Slovakia,Lithuania,Nigeria,Latvia,Serbia and Montenegro,Ethiopia,Venezuela,Brazil,Colombia,Argentina,Russia/CIS,Malaysia,Singapore,Philippines,Vietnam,India,Domestic,Japan,Slovenia,Egypt,Ghana,China,Central America,Puerto Rico,Kuwait,Switzerland,Canada,Paraguay,Indonesia,Saudi Arabia,Iraq,Trinidad & Tobago,Dominican Republic,Jamaica,Curaçao,Aruba,Pakistan,Cambodia,Mongolia,Panama
What a Beautiful Day (2011),,"$59,370,498",,,,,"$94,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mafia Kills Only in Summer (2013),,"$6,369,335",,,,,"$24,345",,,,,,,,,,,"$350,710",,,,,,,,,,,,,"$1,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,134",,,,,,,,,,,,,,,,,,,,,,,
Taxi (2015),,"$748,467","$1,329,496","$199,780","$305,840","$168,263",,"$110,426",,"$34,502",,"$203,023","$95,270","$147,586",,"$1,616",,,"$11,524",,,"$110,784",,,,,,,,,"$43,041",,"$10,037",,,,,,,,,,,,,,,,,,,,,,,"$47,255",,,"$7,852",,,,,,,,"$9,823",,,,,,,,,,,,,,,,,,,,,
Dragon Blade (2015),,"$963,938",,,,,,,,,"$8,744",,,,,,,,"$267,755",,"$506,416","$119,333","$745,334",,,,,,,,$253,"$732,239","$29,906",,,,,,,,,"$84,208",,,"$9,171",,,,,,,,,,,,,,,,"$1,909,152",,,"$353,332","$74,068",,,,,"$116,803,035",,,,,,,,,,,,,,,,,,
Ghost Graduation (2012),,"$270,952",,,"$2,273,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Flights Up (2014),,"$504,129",,,"$798,421","$146,629",,,"$35,148",,,,,,,,,"$163,767","$213,263","$120,933",,,,"$403,111","$72,100",,"$35,334",,,,,,,,,,,"$9,431",,,"$68,543",,,,,,,,,"$5,938",,"$3,415",,,,"$78,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People of Rome (2003),,"$188,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Farewell Party (2014),,,"$381,410","$44,170","$174,352","$52,603",,"$38,791","$2,313",,,,,"$19,171",,,,,,,,,,"$21,583",,,,,,,,,,,,"$19,409",,,,,,,,,,,,,,,,,,,,"$24,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slow West (2015),,,"$225,445",,"$36,616","$41,172",,"$28,467",,"$24,382",,,,,,"$1,481",,,"$58,134","$34,551",,,,,,,,,,,"$559,614","$11,865","$8,771",,,,,"$19,829",,,,,,,,,,,,,,,,,,,,,"$16,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NoBody's Perfect (2008),,,"$28,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,122",,"$10,838",,,,,,,,,,,,,,,,,,,,,
