Movie Name,United Kingdom,Domestic,Russia/CIS,Poland,Spain,France,Belgium,Norway,Portugal,Romania,South Korea,Netherlands,Greece,Italy,Türkiye,South Africa,Sweden,Czech Republic,Slovakia,Germany,Lebanon,Kenya,Mexico,Venezuela,Brazil,Colombia,Ecuador,Argentina,Chile,Uruguay,Peru,Taiwan,Hong Kong,Singapore,Malaysia,Thailand,Philippines,Vietnam,Australia,Denmark,Switzerland (French),Austria,Hungary,Finland,Croatia,India,New Zealand,China,Switzerland (German),United Arab Emirates,Israel,Ukraine,Qatar,Bahrain,Bulgaria,Lithuania,Serbia and Montenegro,Oman,Slovenia,Iceland,Egypt,Ethiopia,Bolivia,Japan,Latvia,Estonia,Jordan,Kuwait,Ghana,Nigeria,Iraq,Pakistan,Mongolia,Cambodia,West Indies,Aruba,Curaçao,Russia,Tunisia
Straight Outta Compton (2015),"$12,216,965",,"$147,425","$244,462","$213,348","$3,447,640","$285,261","$469,094",,,"$356,286","$950,508",,"$641,650",,"$134,837","$583,296","$36,815","$3,837","$5,355,084","$6,076","$4,676","$371,425",,"$92,824",,,,,$497,,"$250,277",,"$37,674",,"$15,296","$10,086",,"$8,733,790","$232,046","$185,937","$269,782",,"$289,950","$25,123",,"$789,751",,"$972,508","$128,965","$130,136",,,,"$1,652",,,"$2,703",,"$119,607",,,,"$166,982",,"$32,860",,,,"$3,253",,,,,,,,,
Tangerine (2015),"$28,376","$702,354",,"$1,744",,"$16,458",,,"$1,152",,"$14,006",,,,,,,,,,,,"$9,913",,"$21,910",,,,,,,,"$7,778",,,"$6,995",,,"$11,225",,,,,,,,"$18,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy (2015),"$6,850,975",,"$543,431","$344,828","$3,137,235","$3,323,140","$445,375","$576,149","$459,621","$114,564","$1,160,224","$880,621","$288,617","$2,792,298","$247,865","$163,253","$980,971","$51,229","$34,039","$2,204,519","$107,161","$11,316","$1,409,739",,"$1,358,552","$99,743","$82,718","$314,194","$60,278","$59,810","$159,701","$1,188,104","$608,525","$260,155","$26,260","$86,391",,,"$5,828,619","$693,952","$269,809","$527,184","$129,855","$385,359","$94,132","$220,995","$749,409",,"$715,162","$532,617","$608,906","$43,761","$47,931","$67,881","$54,581","$50,453","$34,940","$13,847","$32,672","$43,019",,,"$37,195",,"$22,513",,,,,,,,,,,,,,
Victor Frankenstein (2015),"$1,395,831",,"$3,205,055",,"$82,621","$996,428",,,,"$80,168",,,,"$169,460","$92,283","$42,638",,"$42,385","$28,005",,"$19,110","$12,985","$5,176,528","$2,932,106","$2,228,410","$483,324","$364,171","$737,337","$288,011","$11,244","$707,410","$406,880","$593,595","$327,433","$1,096,145",,,"$399,098",,,,,,,,,,,,,,"$389,365","$17,123","$12,395","$59,699",,"$20,859","$13,466",,,,,"$124,954",,,,,,,,,,,,,,,,
Theeb (2014),"$74,035",,,,"$15,356",,"$26,215","$102,000",,,,,,,,,,,,,"$4,547",,,,"$27,934","$19,982",,,,,,,,,,,,,,,,,,,,,"$37,684",,,"$32,638",,,$664,,,,,"$7,474","$1,763",,"$6,230",,,,,,"$54,991","$72,115",,,$488,,,,,,,,"$1,309"
Brothers (2015),"$222,902","$613,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,736",,,,"$83,223",,,,,,,"$17,012,208","$102,999",,,"$1,236,953",,,"$131,155","$121,033",,"$1,160",,"$150,466",,,,,,,,,,,,,,,,,,,,,
Scouts Guide to the Zombie Apocalypse (2015),"$819,197",,"$491,354",,,,,$480,"$55,092",,,"$62,102",,,,"$21,733",,,,"$506,480",,,"$2,030,837","$626,226","$1,285,548","$297,047","$119,378",,"$114,835",,"$688,538","$940,808","$1,288,139","$336,959",,"$110,846","$266,907",,"$670,632",,,"$101,501",,,,,"$52,662",,,,,,,,,"$13,431",,,"$22,339","$35,798",,,"$203,823",,"$24,367","$16,452",,,,,,,,,,,,,
Suffragette (2015),"$14,074,045",,,"$68,830","$1,604,077","$304,257","$142,244","$147,907","$297,876",,"$189,500","$235,586","$46,439","$1,263,230","$54,157","$45,726","$1,404,284",,,"$2,036,701",,,"$146,913","$97,702","$444,748","$17,769","$12,564",,"$18,328","$26,222","$43,316","$35,412","$73,402","$33,988",,"$4,742",,,"$2,910,615","$131,456","$65,025","$338,823",,"$129,184",,,"$798,145",,,"$11,992",,,,,,,,,"$3,926","$10,545",,,,,,,,,,,,,,,,,,,
Sweet Bean (2015),"$6,145","$124,800",,,"$817,724",,"$103,174","$134,449","$28,611",,"$188,040",,,"$343,939",,,,,,,,,,,"$34,844",,,"$8,340",,,,,"$167,499",,,,,,,,,"$92,842",,"$65,661",,,"$36,456",,,,,,,,,"$6,951",,,"$6,584",,,,,"$2,562,291",,,,,,,,,,,,,,,
In No Great Hurry: 13 Lessons in Life with Saul Leiter (2013),,"$12,133",,,,,,,,,"$8,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulevard (2014),,"$126,150",,,,"$69,157",,,$961,,"$81,337",,,,,,,,,"$4,099",,,,,,,,,,,,,"$33,889","$6,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Eat Dog (2008),,$80,,,,,,,,,,,,,,,,,,,,,,,,"$671,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La petite Jérusalem (2005),,"$53,580",,,,"$378,043",,,,,,,,,,,,,,,,,,,,,,,,"$6,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Cab to Darwin (2015),,"$34,193",,,,,,,,,,,,,,,,,,,,,,,,"$18,190",,,,,,,,,,,,,"$5,444,246",,,,,,,,"$448,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasolini (2014),,"$30,757",,,"$124,665",,,,"$18,598",,,,"$13,471","$347,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sailor Moon R: The Movie: The Promise of the Rose (1993),,"$619,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Match (2014),,"$37,285","$2,192,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$242,801",,,,,,,,,,,,,,,,,,,,,,,,,,,
Duska (2007),,,"$48,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissi und der wilde Kaiser (2007),,,"$1,005,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Missed Call 2 (2005),,,"$106,560",,,,,,,,"$2,008,503",,,,,,,,,,,,,,,,,,,,,"$469,477","$131,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,062,843",,,,,,,,,,,,,,,
One Missed Call 3: Final (2006),,,"$162,279",,,,,,,,"$1,531,247",,,,,,,,,,,,,,,,,,,,,"$368,740",,,,$695,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,462,907",,,,,,,,,,,,,,,
Yellowbird (2014),,,"$1,036,928","$1,055,173","$33,142",,,,"$133,171","$178,917",,,"$62,289",,"$185,166","$144,031",,"$40,593",,,"$60,334","$18,743",,,,,,,,,,,,,,,,,,,,"$98,003","$101,878",,,,,"$207,155",,"$154,183",,,,,"$21,865","$91,655",,"$5,474",,,,,"$8,851",,"$60,498","$92,065",,,,,,,,,,,,,
The True Cost (2015),,,"$6,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colonia (2015),,,"$98,172",,"$15,038","$882,273",,,,,,,,"$185,421",,,,"$91,707","$26,666","$1,965,877","$15,907",,,,,,,,,,,,,,,"$31,424",,,,,,"$151,962",,,,,,,"$75,610","$54,127",,"$4,398",,,,,,"$5,460","$1,295",,,,,,,,,,,,,,,,,,,,
Do Not Disturb (2014),,,"$14,547",,,,,,,,,,,,,,,,,,,,,,"$30,155",,,,,,"$15,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some Kind of Beautiful (2014),,,"$194,787",,,,,,,,,,,,,,,,,,,,"$815,338",,,,,,,,,,"$24,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always Watching: A Marble Hornets Story (2015),,,"$660,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle for Sevastopol (2015),,,"$8,405,850",,,,,,,,,,,,,,,,"$49,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$614,548",,,,"$13,130",,,,,,,,,"$21,148",,,,,,,,,,,,,,
