Movie Name,South Korea,Russia/CIS,Thailand,France,Spain,Germany,Italy,Belgium,Netherlands,Poland,Israel,United Arab Emirates,Switzerland,Norway,South Africa,Austria,Czech Republic,Denmark,Sweden,Romania,Greece,Portugal,Hungary,Finland,Estonia,Ukraine,Türkiye,Lithuania,Slovakia,Latvia,Bulgaria,Serbia and Montenegro,Slovenia,United Kingdom,Iceland,Croatia,Cyprus,Brazil,Mexico,Argentina,Colombia,Ecuador,Peru,Chile,Bolivia,Uruguay,Costa Rica,Panama,Nicaragua,Paraguay,Honduras,Australia,New Zealand,Vietnam,Malaysia,Singapore,China,Kuwait,Qatar,Lebanon,Bahrain,Jordan,Oman,Egypt,Venezuela,Trinidad & Tobago,Japan,Taiwan,Hong Kong,Philippines,India,Indonesia,Domestic,Nigeria,Kenya,Ghana,Jamaica,Dominican Republic,Aruba,Pakistan,Mongolia
MFKZ (2017),,,,"$232,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Churchill (2017),,,,"$158,965","$664,240",,,,,,,"$25,516",,,"$69,759",,,,,,,"$129,301",,,,,"$22,525",,,,"$11,413",,"$7,555","$2,201,908",,,,,"$401,853",,"$160,340",,,,,,,,,,,"$1,280,218","$309,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moka (2016),,,,"$1,347,232",,,,,,,,,,,,,,,,,"$16,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return to Montauk (2017),,,,"$187,805","$94,238",,,,,,,,,,,,,,,,,"$36,369",,"$10,410",,,,,,,,,,"$1,445",,,,,,,"$30,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Call Me Son (2016),,,,"$49,519","$4,342",,,,,,,,,,,,,,,,,"$1,404",,,,,,,,,,,,,,,,"$139,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Hundred Steps (2000),,,,"$25,002",,"$191,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Bag of Marbles (2017),,,,"$9,053,399","$263,597",,"$922,884",,,,,"$4,171",,,,,"$19,702",,,,"$57,658","$18,899",,,,,,,"$6,586",,,,,,,,,,"$76,512",,"$64,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Come What May (2015),,,,"$1,048,324","$202,244",,,"$21,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nile Hilton Incident (2017),,,,"$3,400,276","$284,042",,,,"$60,597",,,,,,,,,,,,"$61,921",,,,,,,,,,"$2,528",,,"$11,179","$2,219","$2,181",,,,"$60,184",,,,,,"$13,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force Majeure (2014),,,,"$622,896","$216,555",$222,"$216,209","$59,434","$279,261",,,,,,,"$44,763",,,,$104,"$109,002",,"$16,038","$122,080","$53,058",,,,"$1,572",,,,,"$761,992",,,,$315,,"$25,994",,,,,,"$9,250",,,,,,"$43,766","$102,529",,,,,,,,,,,,,,,,"$49,802",,,,,,,,,,,,
Solstorm (2007),,,,,"$59,571",,,,,,,,,,,,,,"$2,714,992",,,,,"$17,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tubelight (2017),,,,,"$23,020",,,,,,,"$2,334,633",,"$29,625",,,,,,,,"$4,639",,,,,,,,,,,,"$781,250",,,,,,,,,,,,,,,,,,"$347,918","$199,313",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie Curie: The Courage of Knowledge (2016),,,,,"$350,736",,"$76,656",,,"$1,389,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
